"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Abalones nei single_stock","Japan","Abalones nei","Haliotis spp",50,1,0.188,0.188,0.188,0.0364444069076824,0.0364444069076824,0.0364444069076824,153725.900158494,153725.900158494,153725.900158494,0.702906842425514,0.702906842425514,0.702906842425514,0.828466243861376,0.828466243861376,0.828466243861376,1,1,1,1,0,0,0,45508.29529,52244.7147030769,58098.95341,45508.29529,52244.7147030769,58098.95341,1,1.3,1.5,1399160731.62676,3733310473.21192,7284557795.69237,1399160731.62676,3733310473.21192,7284557795.69237,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Alaska pollock(=Walleye poll.) pacific_stock","Japan","Alaska pollock(=Walleye poll.)","Theragra chalcogramma",50,1,0.188,0.188,0.188,0.0326146338052567,0.0326146338052567,0.0326146338052567,92985978.2832054,92985978.2832054,92985978.2832054,0.177242791964417,0.177242791964417,0.177242791964417,0.836139236569568,0.836139236569568,0.836139236569568,1,1,1,1,0,0,0,412.0580546,1066.71420654615,2208.619804,412.0580546,1066.71420654615,2208.619804,1,1.3,1.5,7663124263.2911,47668969074.7109,177066114026.742,7663124263.2911,47668969074.7109,177066114026.742,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Japan","Alaska pollock(=Walleye poll.)","Theragra chalcogramma",50,1,0.188,0.188,0.188,0.0307101900083722,0.0307101900083722,0.0307101900083722,2776001.27201894,2776001.27201894,2776001.27201894,0.378883179520828,0.378883179520828,0.378883179520828,0.0145702667898396,0.0145702667898396,0.0145702667898396,1,1,1,1,0,0,0,3197.428646,4880.28051376923,6284.734176,3197.428646,4880.28051376923,6284.734176,1,1.3,1.5,1775213197.69716,6629391441.74991,15501317267.5679,1775213197.69716,6629391441.74991,15501317267.5679,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Albacore single_stock","Japan","Albacore","Thunnus alalunga",50,1,0.188,0.188,0.188,0.0404624266921751,0.0404624266921751,0.0404624266921751,2830132.00102912,2830132.00102912,2830132.00102912,0.683617136765729,0.683617136765729,0.683617136765729,1.55824986180707,1.55824986180707,1.55824986180707,0.6,1,1,1,0,0,0,2949.068185,3475.39166484615,4187.851544,2949.068185,3475.39166484615,4187.851544,1,1.3,1.5,1669250448.71707,4430868259.61594,9174349697.98314,1669250448.71707,4430868259.61594,9174349697.98314,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Amberstripe scad single_stock","Japan","Amberstripe scad","Decapterus muroadsi",50,1,0.188,0.188,0.188,0.0363980640890043,0.0363980640890043,0.0363980640890043,3566405.40652005,3566405.40652005,3566405.40652005,0.374712102072058,0.374712102072058,0.374712102072058,0.76136161215264,0.76136161215264,0.76136161215264,1,1,1,1,0,0,0,1236.477969,1878.68764669231,2480.582426,1236.477969,1878.68764669231,2480.582426,1,1.3,1.5,881956342.736905,3115700985.0517,7220188106.36327,881956342.736905,3115700985.0517,7220188106.36327,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Antarctic krill nei single_stock","Japan","Antarctic krill nei","Euphausia spp",50,1,0.188,0.188,0.188,0.0408730515708737,0.0408730515708737,0.0408730515708737,1751537.81838979,1751537.81838979,1751537.81838979,0.538322912082824,0.538322912082824,0.538322912082824,1.72955065467983,1.72955065467983,1.72955065467983,0.6,1,1,1,0,0,0,313.814282,1929.84177636923,3936.525788,313.814282,1929.84177636923,3936.525788,1,1.3,1.5,109931516.574768,1518112902.8843,5310279386.86472,109931516.574768,1518112902.8843,5310279386.86472,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Bastard halibut pacific_central_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0409016749839455,0.0409016749839455,0.0409016749839455,35701.4987526182,35701.4987526182,35701.4987526182,0.695629084456648,0.695629084456648,0.695629084456648,2.46851441933991,2.46851441933991,2.46851441933991,1,1,1,1,0,0,0,9843.891755,14021.665909,20018.66674,9843.891755,14021.665909,20018.66674,1,1.3,1.5,70288337.8424083,224780018.849705,550242756.584521,70288337.8424083,224780018.849705,550242756.584521,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Bastard halibut pacific_north_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0360489723223785,0.0360489723223785,0.0360489723223785,170220.604335865,170220.604335865,170220.604335865,0.762650296913284,0.762650296913284,0.762650296913284,1.7495278201655,1.7495278201655,1.7495278201655,1,1,1,1,0,0,0,6356.017079,9485.126392,13776.61197,6356.017079,9485.126392,13776.61197,1,1.3,1.5,216385013.671292,752976377.945049,1923142179.04551,216385013.671292,752976377.945049,1923142179.04551,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Bastard halibut sea_of_japan_north_central_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.034791914923347,0.034791914923347,0.034791914923347,116744.245432013,116744.245432013,116744.245432013,0.446427971391125,0.446427971391125,0.446427971391125,2.55338191422059,2.55338191422059,2.55338191422059,1,1,1,1,0,0,0,10002.56875,11850.4645615385,13828.72389,10002.56875,11850.4645615385,13828.72389,1,1.3,1.5,233548468.220116,652110700.448665,1347664239.61917,233548468.220116,652110700.448665,1347664239.61917,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
"Bastard halibut sea_of_japan_west_east_china_sea_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0318090333485201,0.0318090333485201,0.0318090333485201,82823.7610625975,82823.7610625975,82823.7610625975,0.434420852594719,0.434420852594719,0.434420852594719,2.27828596062867,2.27828596062867,2.27828596062867,1,1,1,1,0,0,0,11472.79753,13032.4308961538,15096.51812,11472.79753,13032.4308961538,15096.51812,1,1.3,1.5,190044048.268856,522647894.877759,1091590601.90309,190044048.268856,522647894.877759,1091590601.90309,0.01,0.02,0.03,1.31,1.31,0.77,0.77,0.1,1
