year,prefecture,fish,value_million_JPY
2003,北海道,abalone,497
2003,青森,abalone,429
2003,岩手,abalone,2770
2003,宮城,abalone,1766
2003,秋田,abalone,139
2003,山形,abalone,43
2003,福島,abalone,259
2003,茨城,abalone,129
2003,千葉,abalone,1041
2003,東京,abalone,10
2003,神奈川,abalone,107
2003,新潟,abalone,121
2003,富山,abalone,20
2003,石川,abalone,47
2003,福井,abalone,100
2003,静岡,abalone,243
2003,愛知,abalone,47
2003,三重,abalone,539
2003,京都,abalone,56
2003,大阪,abalone,0.25
2003,兵庫,abalone,245
2003,和歌山,abalone,143
2003,鳥取,abalone,35
2003,島根,abalone,275
2003,岡山,abalone,1
2003,広島,abalone,0
2003,山口,abalone,800
2003,徳島,abalone,609
2003,香川,abalone,43
2003,愛媛,abalone,389
2003,高知,abalone,1
2003,福岡,abalone,501
2003,佐賀,abalone,110
2003,長崎,abalone,1215
2003,熊本,abalone,55
2003,大分,abalone,237
2003,宮崎,abalone,8
2003,鹿児島,abalone,14
2003,沖縄,abalone,0
2004,愛知,abalone,30
2004,愛媛,abalone,358
2004,茨城,abalone,165
2004,岡山,abalone,0.25
2004,沖縄,abalone,0
2004,岩手,abalone,3506
2004,宮崎,abalone,8
2004,宮城,abalone,1850
2004,京都,abalone,85
2004,熊本,abalone,57
2004,広島,abalone,3
2004,香川,abalone,29
2004,高知,abalone,1
2004,佐賀,abalone,114
2004,三重,abalone,538
2004,山形,abalone,34
2004,山口,abalone,910
2004,鹿児島,abalone,20
2004,秋田,abalone,67
2004,新潟,abalone,95
2004,神奈川,abalone,118
2004,青森,abalone,373
2004,静岡,abalone,277
2004,石川,abalone,45
2004,千葉,abalone,768
2004,大阪,abalone,0.25
2004,大分,abalone,225
2004,長崎,abalone,1228
2004,鳥取,abalone,45
2004,島根,abalone,341
2004,東京,abalone,13
2004,徳島,abalone,580
2004,富山,abalone,16
2004,福井,abalone,155
2004,福岡,abalone,626
2004,福島,abalone,321
2004,兵庫,abalone,212
2004,北海道,abalone,297
2004,和歌山,abalone,137
2005,愛知,abalone,24
2005,愛媛,abalone,412
2005,茨城,abalone,165
2005,岡山,abalone,0.25
2005,沖縄,abalone,0
2005,岩手,abalone,2108
2005,宮崎,abalone,8
2005,宮城,abalone,1277
2005,京都,abalone,81
2005,熊本,abalone,46
2005,広島,abalone,7
2005,香川,abalone,30
2005,高知,abalone,1
2005,佐賀,abalone,145
2005,三重,abalone,460
2005,山形,abalone,24
2005,山口,abalone,1071
2005,鹿児島,abalone,20
2005,秋田,abalone,100
2005,新潟,abalone,93
2005,神奈川,abalone,139
2005,青森,abalone,277
2005,静岡,abalone,253
2005,石川,abalone,50
2005,千葉,abalone,940
2005,大阪,abalone,0.25
2005,大分,abalone,239
2005,長崎,abalone,1297
2005,鳥取,abalone,49
2005,島根,abalone,369
2005,東京,abalone,17
2005,徳島,abalone,585
2005,富山,abalone,14
2005,福井,abalone,129
2005,福岡,abalone,703
2005,福島,abalone,284
2005,兵庫,abalone,181
2005,北海道,abalone,275
2005,和歌山,abalone,134
2006,北海道,abalone,318
2006,青森,abalone,466
2006,岩手,abalone,5024
2006,宮城,abalone,2216
2006,秋田,abalone,102
2006,山形,abalone,42
2006,福島,abalone,248
2006,茨城,abalone,131
2006,千葉,abalone,831
2006,東京,abalone,16
2006,神奈川,abalone,166
2006,新潟,abalone,131
2006,富山,abalone,13
2006,石川,abalone,51
2006,福井,abalone,160
2006,静岡,abalone,231
2006,愛知,abalone,26
2006,三重,abalone,435
2006,京都,abalone,81
2006,大阪,abalone,0.25
2006,兵庫,abalone,184
2006,和歌山,abalone,95
2006,鳥取,abalone,82
2006,島根,abalone,454
2006,岡山,abalone,0.25
2006,広島,abalone,7
2006,山口,abalone,974
2006,徳島,abalone,351
2006,香川,abalone,29
2006,愛媛,abalone,544
2006,高知,abalone,1
2006,福岡,abalone,628
2006,佐賀,abalone,126
2006,長崎,abalone,1281
2006,熊本,abalone,48
2006,大分,abalone,173
2006,宮崎,abalone,2
2006,鹿児島,abalone,23
2006,沖縄,abalone,0
2007,北海道,abalone,335
2007,青森,abalone,380
2007,岩手,abalone,3903
2007,宮城,abalone,1709
2007,秋田,abalone,87
2007,山形,abalone,45
2007,福島,abalone,229
2007,茨城,abalone,208
2007,千葉,abalone,1571
2007,東京,abalone,26
2007,神奈川,abalone,139
2007,新潟,abalone,130
2007,富山,abalone,48
2007,石川,abalone,66
2007,福井,abalone,130
2007,静岡,abalone,216
2007,愛知,abalone,33
2007,三重,abalone,391
2007,京都,abalone,64
2007,大阪,abalone,0.25
2007,兵庫,abalone,182
2007,和歌山,abalone,139
2007,鳥取,abalone,86
2007,島根,abalone,322
2007,岡山,abalone,4
2007,広島,abalone,3
2007,山口,abalone,682
2007,徳島,abalone,450
2007,香川,abalone,24
2007,愛媛,abalone,544
2007,高知,abalone,2
2007,福岡,abalone,744
2007,佐賀,abalone,96
2007,長崎,abalone,1005
2007,熊本,abalone,28
2007,大分,abalone,135
2007,宮崎,abalone,2
2007,鹿児島,abalone,25
2007,沖縄,abalone,0
2008,北海道,abalone,356
2008,青森,abalone,276
2008,岩手,abalone,1894
2008,宮城,abalone,943
2008,秋田,abalone,107
2008,山形,abalone,52
2008,福島,abalone,142
2008,茨城,abalone,173
2008,千葉,abalone,937
2008,東京,abalone,17
