Fish,stock_code
abalone,0
albacore_tuna,0
amberstripe_scad,1
atka_mackerel,1
auxis,0
bastard_halibut,1
bigeye_tuna,0
blackhead_seabream_and_goldlined_seabream,0
blue_marlin,0
bluefin_tuna,0
broadbanded_thornyhead,1
cod,1
conger_eel,1
crimson_seabream,0
crimson_seabream_and_yellowback_seabream,0
daggertooth_pike_conger,0
dolphinfish,0
flathead_mullet,0
flyingfish,0
funori_seaweed,0
golden_cuttlefish,0
half-crenate_ark_shell,0
herring,0
hijiki_seaweed,0
japanese_anchovy,1
japanese_common_squid,1
japanese_hard_clam,0
japanese_jack_mackerel,1
japanese_sardine,1
japanese_seabass,0
japanese_seabream,1
japanese_shrimp,0
japanese_spanish_mackerel,1
kelp,0
king_crab,0
krill,0
largehead_hairtail,1
lizardfish,0
mackerel,1
manila_clam,0
marine_mammals,0
marlin,0
neon_flying_squid,1
octopus,0
other_crab,0
other_croaker,0
other_fish,0
other_fish,0
other_kajiki,0
other_seaweed,0
other_shellfish,0
other_shrimp,0
other_squid,0
other_tuna,0
pollock,1
pufferfish,1
rays,0
red_rock_fish,0
red_snow_crab,1
redwing_searobin,0
righteye_flounder,1
round_herring,1
rudderfish,0
salmon,0
sand_lance,1
sandfish,1
saury,1
scallop,0
sea_cucumber,0
sea_urchin,0
shad,0
shark,0
skipjack,0
smelt,1
snow_crab,1
southern_bluefin_tuna,0
spiny_lobster,0
spiny_red_gurnard,0
spiny_top_shell,0
surf_clam,0
swimming_crab,0
swordfish,0
tengusa_seaweed,0
threeline_grunt,0
tilefish,1
trout,0
wakame_seaweed,0
whitebait,1
yellow_croaker,0
yellowback_seabream,1
yellowfin_tuna,0
yellowtail,1
atka_mackerel,2
atka_mackerel,3
bastard_halibut,2
bastard_halibut,3
bastard_halibut,4
broadbanded_thornyhead,2
broadbanded_thornyhead,3
cod,2
cod,3
japanese_anchovy,2
japanese_anchovy,3
japanese_common_squid,2
japanese_jack_mackerel,2
japanese_sardine,2
japanese_seabream,2
japanese_seabream,3
japanese_spanish_mackerel,2
mackerel,2
mackerel,3
pollock,2
pollock,3
pollock,4
pufferfish,2
righteye_flounder,2
righteye_flounder,3
round_herring,2
sand_lance,2
sand_lance,3
sandfish,2
smelt,2
snow_crab,2
snow_crab,3
,
