prefecture,alphabet,pref_code,region_kaiku,region,region_name,pref_num
北海道,hokkaido,1,1,1,hokkaido,1
青森,aomori,2,0,2,tohoku,2
岩手,iwate,3,2,2,tohoku,3
宮城,miyagi,4,2,2,tohoku,4
秋田,akita,5,7,2,tohoku,5
山形,yamagata,6,7,2,tohoku,6
福島,fukushima,7,2,2,tohoku,7
茨城,ibaraki,8,2,3,kanto,8
栃木,tochigi,,,,,9
群馬,gunma,,,,,10
埼玉,saitama,,,,,11
千葉,chiba,9,3,3,kanto,12
東京,tokyo,10,3,3,kanto,13
神奈川,kanagawa,11,3,3,kanto,14
新潟,niigata,12,7,4,chubu,15
富山,toyama,13,6,4,chubu,16
石川,ishikawa,14,6,4,chubu,17
福井,fukui,15,6,4,chubu,18
山梨,yamanashi,,,,,19
長野,nagano,,,,,20
岐阜,gifu,,,,,21
静岡,shizuoka,16,3,4,chubu,22
愛知,aichi,17,3,4,chubu,23
三重,mie,18,3,5,kinki,24
滋賀,shiga,,,,,25
京都,kyoto,19,6,5,kinki,26
大阪,osaka,20,8,5,kinki,27
兵庫,hyogo,21,0,5,kinki,28
奈良,nara,,,,,29
和歌山,wakayama,22,0,5,kinki,30
鳥取,tottori,23,6,6,chugoku,31
島根,shimane,24,6,6,chugoku,32
岡山,okayama,25,8,6,chugoku,33
広島,hiroshima,26,8,6,chugoku,34
山口,yamaguchi,27,0,6,chugoku,35
徳島,tokushima,28,0,7,shikoku,36
香川,kagawa,29,8,7,shikoku,37
愛媛,ehime,30,8,7,shikoku,38
高知,kochi,31,4,7,shikoku,39
福岡,fukuoka,32,0,8,kyushu,40
佐賀,saga,33,5,8,kyushu,41
長崎,nagasaki,34,5,8,kyushu,42
熊本,kumamoto,35,5,8,kyushu,43
大分,oita,36,0,8,kyushu,44
宮崎,miyazaki,37,4,8,kyushu,45
鹿児島,kagoshima,38,5,8,kyushu,46
沖縄,okinawa,39,5,8,kyushu,47
