X,fishery,species,management,MC,catchShare,illegalFishing,implementYear,time,biomass,harvest1,harvest2,harvest_ill_for,profit1,profit2,BvBMSY,FvFMSY1,FvFMSY2,FvFMSYill,FvFMSYtotal,harvest,profit
1,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,1,43220.02613,1304.940559,0,0,28733103.25,0,0.702906842,0.828466244,0,0,0.828466244,1304.940559,28733103.25
2,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,1,43220.02613,1304.940559,0,0,28733103.25,0,0.702906842,0.828466244,0,0,0.828466244,1304.940559,28733103.25
3,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,1,43220.02613,1304.940559,0,0,28733103.25,0,0.702906842,0.828466244,0,0,0.828466244,1304.940559,28733103.25
4,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,10,50000.72679,1509.669989,0,0,39429133.91,0,0.813184446,0.828466244,0,0,0.828466244,1509.669989,39429133.91
5,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,10,56972.43354,932.4337776,0,0,30922387.07,0,0.926568467,0.449078579,0,0,0.449078579,932.4337776,30922387.07
6,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,10,47856.36123,1744.096702,0,0,40744927.1,0,0.778309658,1,0,0,1,1744.096702,40744927.1
7,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,11,50682.90812,1530.267063,0,0,40505222.19,0,0.824279069,0.828466244,0,0,0.828466244,1530.267063,40505222.19
8,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,11,58273.55234,1020.503831,0,0,33887390.05,0,0.947729151,0.480520875,0,0,0.480520875,1020.503831,33887390.05
9,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,11,48283.34713,1759.65795,0,0,41557920.05,0,0.785253923,1,0,0,1,1759.65795,41557920.05
10,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,12,51350.28999,1550.417298,0,0,41557965.45,0,0.835133003,0.828466244,0,0,0.828466244,1550.417298,41557965.45
11,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,12,59490.23659,1105.556596,0,0,36771541.04,0,0.967516638,0.50992276,0,0,0.50992276,1105.556596,36771541.04
12,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,12,48699.21918,1774.81416,0,0,42349751.93,0,0.792017438,1,0,0,1,1774.81416,42349751.93
13,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,13,52002.82244,1570.119185,0,0,42587284.9,0,0.845745433,0.828466244,0,0,0.828466244,1570.119185,42587284.9
14,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,13,60624.14058,1187.169943,0,0,39557570.12,0,0.985957831,0.537324212,0,0,0.537324212,1187.169943,39557570.12
15,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,13,49104.11647,1789.570402,0,0,43120687.57,0,0.798602466,1,0,0,1,1789.570402,43120687.57
16,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,14,52640.48484,1589.372101,0,0,43593148,0,0.856116025,0.828466244,0,0,0.828466244,1589.372101,43593148
17,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,14,61677.58479,1266.082726,0,0,42260910.54,0,1.003090471,0.56325342,0,0,0.56325342,1266.082726,42260910.54
18,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,14,49498.18724,1803.932077,0,0,43871009.2,0,0.805011417,1,0,0,1,1803.932077,43871009.2
19,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,15,53263.28415,1608.176256,0,0,44575565.72,0,0.866244892,0.828466244,0,0,0.828466244,1608.176256,44575565.72
20,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,15,62652.367,1345.408812,0,0,44963372.52,0,1.018943795,0.589231421,0,0,0.589231421,1345.408812,44963372.52
21,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,15,49881.58789,1817.904886,0,0,44601014.64,0,0.811246836,1,0,0,1,1817.904886,44601014.64
22,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,16,53871.25325,1626.532643,0,0,45534589.94,0,0.876132569,0.828466244,0,0,0.828466244,1626.532643,45534589.94
23,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,16,63547.36056,1419.867157,0,0,47512620.96,0,1.033499481,0.613083051,0,0,0.613083051,1419.867157,47512620.96
24,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,16,50254.48218,1831.494797,0,0,45311015.66,0,0.817311384,1,0,0,1,1831.494797,45311015.66
25,Abalones nei single_stock,Abalones nei,BAU,1,no_CS,illegal_fishing,2,17,54464.44923,1644.442986,0,0,46470310.69,0,0.885779984,0.828466244,0,0,0.828466244,1644.442986,46470310.69
26,Abalones nei single_stock,Abalones nei,econOpt,1,no_CS,illegal_fishing,2,17,64366.89061,1489.412069,0,0,49904402.67,0,1.046827869,0.634923573,0,0,0.634923573,1489.412069,49904402.67
27,Abalones nei single_stock,Abalones nei,FMSY,1,no_CS,illegal_fishing,2,17,50617.04032,1844.708014,0,0,46001336.4,0,0.823207832,1,0,0,1,1844.708014,46001336.4
