"","alphabet_pref","fish_stock","harvest_FMSY","rank_number"
"1","hokkaido","pollock_pacific_stock",516352.844806236,1
"2","hokkaido","scallop_single_stock",139213.144424076,2
"3","hokkaido","atka_mackerel_hokkaido_north",78244.2150223736,3
"4","hokkaido","salmon_single_stock",76469.3374524632,4
"5","hokkaido","japanese_common_squid_winter_stock",59389.5889697813,5
"6","hokkaido","saury_single_stock",41217.8270910185,6
"7","hokkaido","octopus_single_stock",23346.1333971263,7
"8","hokkaido","righteye_flounder_hokkaido_north_stock",22138.7537087409,8
"9","hokkaido","sand_lance_soya_strait",21001.5876882758,9
"10","hokkaido","cod_hokkaido",16507.5707478527,10
"11","aomori","japanese_common_squid_winter_stock",51497.5981169079,1
"12","aomori","pollock_pacific_stock",12874.5230781773,2
"13","aomori","neon_flying_squid_single_stock",10720.1002025678,3
"14","aomori","japanese_sardine_pacific_stock",8729.18312551831,4
"15","aomori","mackerel_pacific_stock",7768.37780478761,5
"16","aomori","sea_cucumber_single_stock",6718.90513257199,6
"17","aomori","righteye_flounder_pacific_north",4298.79973913256,7
"18","aomori","salmon_single_stock",2498.65387597167,8
"19","aomori","octopus_single_stock",2160.34789841215,9
"20","aomori","saury_single_stock",1691.42481256745,10
"21","iwate","pollock_pacific_stock",17227.1455615254,1
"22","iwate","japanese_common_squid_winter_stock",13500.9011793155,2
"23","iwate","salmon_single_stock",11721.4470456655,3
"24","iwate","mackerel_pacific_stock",11310.5679140383,4
"25","iwate","saury_single_stock",5362.77891052668,5
"26","iwate","krill_single_stock",2977.1134830722,6
"27","iwate","yellowtail_single_stock",2377.39909227961,7
"28","iwate","sea_urchin_single_stock",1923.67241311663,8
"29","iwate","bigeye_tuna_single_stock",1677.95317468289,9
"30","iwate","octopus_single_stock",1657.27400235334,10
"31","miyagi","pollock_pacific_stock",16864.521101897,1
"32","miyagi","mackerel_pacific_stock",13073.6114275694,2
"33","miyagi","japanese_common_squid_winter_stock",11810.2752792684,3
"34","miyagi","saury_single_stock",10086.6528025699,4
"35","miyagi","skipjack_single_stock",8814.68082410662,5
"36","miyagi","japanese_sardine_pacific_stock",8409.88034858083,6
"37","miyagi","bigeye_tuna_single_stock",7024.20681732009,7
"38","miyagi","righteye_flounder_pacific_north",7018.69330146677,8
"39","miyagi","yellowfin_tuna_single_stock",4961.13060478047,9
"40","miyagi","sand_lance_sendai_bay_stock",4923.44188327482,10
"41","akita","pollock_sea_of_japan_north_stock",5996.45767452162,1
"42","akita","sandfish_sea_of_japan_north_stock",1500.21141494515,2
"43","akita","righteye_flounder_sea_of_japan_stock",712.321394383614,3
"44","akita","cod_sea_of_japan_stock",588.052522276671,4
"45","akita","red_snow_crab_single_stock",474.364240307177,5
"46","akita","octopus_single_stock",448.001296099291,6
"47","akita","japanese_jack_mackerel_tsushima_current_stock",438.176018643312,7
"48","akita","japanese_sardine_tsushima_current_stock",384.368798230719,8
"49","akita","atka_mackerel_hokkaido_north",362.557515944138,9
"50","akita","yellowtail_single_stock",296.971280731466,10
"51","yamagata","pollock_sea_of_japan_north_stock",5323.79349094219,1
"52","yamagata","japanese_common_squid_winter_stock",2010.70433679677,2
"53","yamagata","cod_sea_of_japan_stock",393.691667494614,3
"54","yamagata","righteye_flounder_sea_of_japan_stock",344.815419010498,4
"55","yamagata","sandfish_sea_of_japan_north_stock",282.272451873423,5
"56","yamagata","red_snow_crab_single_stock",271.766125172006,6
"57","yamagata","japanese_seabream_sea_of_japan_north_central_stock",175.403178447207,7
"58","yamagata","yellowtail_single_stock",170.703105642045,8
