"","alphabet_pref","fish_stock","harvest_SQ","rank_number"
"1","hokkaido","pollock_pacific_stock",435496.03110013,1
"2","hokkaido","scallop_single_stock",147694.892840804,2
"3","hokkaido","salmon_single_stock",63060.772976809,3
"4","hokkaido","saury_single_stock",47396.3441297632,4
"5","hokkaido","japanese_common_squid_winter_stock",44095.361460678,5
"6","hokkaido","atka_mackerel_hokkaido_north",37956.4946640012,6
"7","hokkaido","righteye_flounder_hokkaido_north_stock",24210.0594515655,7
"8","hokkaido","cod_hokkaido",17632.2611733118,8
"9","hokkaido","octopus_single_stock",16083.6007256321,9
"10","hokkaido","sand_lance_soya_strait",14731.8453423143,10
"11","aomori","japanese_common_squid_winter_stock",38235.7454010537,1
"12","aomori","pollock_pacific_stock",10858.473540428,2
"13","aomori","mackerel_pacific_stock",8457.53719267167,3
"14","aomori","japanese_sardine_pacific_stock",8322.90109388212,4
"15","aomori","skipjack_single_stock",2380.80248207197,5
"16","aomori","righteye_flounder_pacific_north",2179.87529314348,6
"17","aomori","neon_flying_squid_single_stock",2143.5960630244,7
"18","aomori","salmon_single_stock",2060.52582733863,8
"19","aomori","saury_single_stock",1944.96794576383,9
"20","aomori","yellowtail_single_stock",1747.40422794636,10
"21","iwate","pollock_pacific_stock",14529.5094133622,1
"22","iwate","mackerel_pacific_stock",12313.9671121895,2
"23","iwate","japanese_common_squid_winter_stock",10024.0989687557,3
"24","iwate","salmon_single_stock",9666.14247921131,4
"25","iwate","krill_single_stock",6566.59753155456,5
"26","iwate","saury_single_stock",6166.65488391417,6
"27","iwate","yellowtail_single_stock",2594.54864185288,7
"28","iwate","japanese_sardine_pacific_stock",1573.41659624709,8
"29","iwate","bigeye_tuna_single_stock",1537.84537699701,9
"30","iwate","sea_urchin_single_stock",1196.63464409966,10
"31","miyagi","skipjack_single_stock",14664.3348786382,1
"32","miyagi","mackerel_pacific_stock",14233.4162510816,2
"33","miyagi","pollock_pacific_stock",14223.6691056415,3
"34","miyagi","saury_single_stock",11598.6334333529,4
"35","miyagi","japanese_common_squid_winter_stock",8768.84932903702,5
"36","miyagi","japanese_sardine_pacific_stock",8018.45961370699,6
"37","miyagi","krill_single_stock",6586.25084435604,7
"38","miyagi","bigeye_tuna_single_stock",6437.69095828796,8
"39","miyagi","yellowfin_tuna_single_stock",4929.64886575935,9
"40","miyagi","japanese_anchovy_pacific_stock",4629.72759531077,10
"41","akita","sandfish_sea_of_japan_north_stock",1663.48329713487,1
"42","akita","righteye_flounder_sea_of_japan_stock",660.167696170511,2
"43","akita","cod_sea_of_japan_stock",548.124278191746,3
"44","akita","red_snow_crab_single_stock",521.143591190681,4
"45","akita","japanese_jack_mackerel_tsushima_current_stock",517.191060182293,5
"46","akita","yellowtail_single_stock",324.096377252472,6
"47","akita","octopus_single_stock",308.636717201042,7
"48","akita","japanese_sardine_tsushima_current_stock",256.598337657738,8
"49","akita","salmon_single_stock",188.435140442828,9
"50","akita","atka_mackerel_hokkaido_north",175.877697992014,10
"51","yamagata","japanese_common_squid_winter_stock",1492.90028874791,1
"52","yamagata","cod_sea_of_japan_stock",366.960352861241,2
"53","yamagata","righteye_flounder_sea_of_japan_stock",319.569231763996,3
"54","yamagata","sandfish_sea_of_japan_north_stock",312.992891705143,4
"55","yamagata","red_snow_crab_single_stock",298.566296532813,5
"56","yamagata","japanese_seabream_sea_of_japan_north_central_stock",202.530057580278,6
"57","yamagata","yellowtail_single_stock",186.294977709845,7
"58","yamagata","pollock_sea_of_japan_north_stock",141.902720086938,8
"59","yamagata","japanese_jack_mackerel_tsushima_current_stock",110.574367431308,9
"60","yamagata","salmon_single_stock",107.272644101067,10
"61","fukushima","japanese_sardine_pacific_stock",26973.1775004704,1
"62","fukushima","mackerel_pacific_stock",18886.4353984596,2
"63","fukushima","saury_single_stock",9309.19534045022,3
"64","fukushima","sand_lance_sendai_bay_stock",4412.61883417996,4
"65","fukushima","japanese_anchovy_pacific_stock",4393.11406463789,5
"66","fukushima","snow_crab_pacific",2857.10555611252,6
"67","fukushima","righteye_flounder_pacific_north",2727.67098927582,7
"68","fukushima","pollock_pacific_stock",1954.63569019017,8
"69","fukushima","octopus_single_stock",1905.15883784926,9
"70","fukushima","skipjack_single_stock",1484.9596174873,10
"71","ibaraki","japanese_sardine_pacific_stock",160043.366734359,1
"72","ibaraki","mackerel_pacific_stock",65753.8263710373,2
"73","ibaraki","japanese_anchovy_pacific_stock",21646.3937733031,3
"74","ibaraki","japanese_common_squid_winter_stock",4289.82402504716,4
"75","ibaraki","japanese_jack_mackerel_pacific_stock",3045.96958309666,5
"76","ibaraki","whitebait_single_stock",2329.26315145749,6
"77","ibaraki","saury_single_stock",1937.55396230236,7
"78","ibaraki","skipjack_single_stock",1379.78929463432,8
"79","ibaraki","round_herring_pacific_stock",1024.33776456209,9
"80","ibaraki","krill_single_stock",824.710157217017,10
"81","chiba","japanese_sardine_pacific_stock",70606.7883873827,1
"82","chiba","japanese_anchovy_pacific_stock",32288.9053940119,2
"83","chiba","mackerel_pacific_stock",20538.8116054881,3
"84","chiba","yellowtail_single_stock",4844.52267989587,4
"85","chiba","saury_single_stock",4827.7883238851,5
"86","chiba","japanese_jack_mackerel_pacific_stock",3250.04868976969,6
"87","chiba","manila_clam_single_stock",2952.68702479101,7
"88","chiba","round_herring_pacific_stock",1522.60204322382,8
"89","chiba","japanese_seabass_single_stock",1361.02207640249,9
"90","chiba","japanese_common_squid_winter_stock",688.07838655211,10
"91","tokyo","skipjack_single_stock",9201.42912236115,1
"92","tokyo","bigeye_tuna_single_stock",2686.26010117194,2
"93","tokyo","mackerel_pacific_stock",2446.15733642923,3
"94","tokyo","yellowfin_tuna_single_stock",2352.68737340497,4
"95","tokyo","japanese_sardine_pacific_stock",2014.18145640822,5
"96","tokyo","japanese_jack_mackerel_pacific_stock",645.507661918796,6
"97","tokyo","yellowtail_single_stock",558.316093502941,7
"98","tokyo","pollock_pacific_stock",300.317662064488,8
"99","tokyo","amberstripe_scad_single_stock",296.172932145273,9
"100","tokyo","swordfish_single_stock",287.670030511916,10
"101","kanagawa","japanese_sardine_pacific_stock",14199.0155781497,1
"102","kanagawa","mackerel_pacific_stock",6366.86994230351,2
"103","kanagawa","skipjack_single_stock",4893.41324010754,3
