stock;yr;ct;et;res
cap-icel;1979;980000;;Medium
cap-icel;1980;684000;;Medium
cap-icel;1981;626000;;Medium
cap-icel;1982;600000;;Medium
cap-icel;1983;573000;;Medium
cap-icel;1984;897000;;Medium
cap-icel;1985;1312000;;Medium
cap-icel;1986;1333000;;Medium
cap-icel;1987;1116000;;Medium
cap-icel;1988;1037000;;Medium
cap-icel;1989;808000;;Medium
cap-icel;1990;314000;;Medium
cap-icel;1991;677000;;Medium
cap-icel;1992;788000;;Medium
cap-icel;1993;1179000;;Medium
cap-icel;1994;864000;;Medium
cap-icel;1995;929000;;Medium
cap-icel;1996;1571000;;Medium
cap-icel;1997;1245000;;Medium
cap-icel;1998;1100000;;Medium
cap-icel;1999;933000;;Medium
cap-icel;2000;1071000;;Medium
cap-icel;2001;1249000;;Medium
cap-icel;2002;988000;;Medium
cap-icel;2003;741000;;Medium
cap-icel;2004;783000;;Medium
cap-icel;2005;238000;;Medium
cap-icel;2006;377000;;Medium
cap-icel;2007;202000;;Medium
cap-icel;2008;15000;;Medium
cap-icel;2009;151000;;Medium
cod-2224;1970;43959;0.93;Medium
cod-2224;1971;46623;1.02;Medium
cod-2224;1972;48900;1.11;Medium
cod-2224;1973;54357;1.05;Medium
cod-2224;1974;46571;1.15;Medium
cod-2224;1975;44367;1.16;Medium
cod-2224;1976;49433;1.22;Medium
cod-2224;1977;46305;1.17;Medium
cod-2224;1978;40612;0.96;Medium
cod-2224;1979;45046;0.9;Medium
cod-2224;1980;41972;0.97;Medium
cod-2224;1981;53646;1.06;Medium
cod-2224;1982;47524;0.98;Medium
cod-2224;1983;48605;0.98;Medium
cod-2224;1984;49495;1.01;Medium
cod-2224;1985;40159;1.21;Medium
cod-2224;1986;26692;1.34;Medium
cod-2224;1987;28566;1.11;Medium
cod-2224;1988;29159;1.07;Medium
cod-2224;1989;18516;1.15;Medium
cod-2224;1990;17780;1.3;Medium
cod-2224;1991;16693;1.43;Medium
cod-2224;1992;17996;1.27;Medium
cod-2224;1993;21228;1.14;Medium
cod-2224;1994;30695;0.9;Medium
cod-2224;1995;33895;1.01;Medium
cod-2224;1996;50845;1.16;Medium
cod-2224;1997;43624;1.34;Medium
cod-2224;1998;34216;1.14;Medium
cod-2224;1999;42155;1.21;Medium
cod-2224;2000;38347;1.18;Medium
cod-2224;2001;34244;1.17;Medium
cod-2224;2002;24158;1.14;Medium
cod-2224;2003;24624;1.03;Medium
cod-2224;2004;20854;1.1;Medium
cod-2224;2005;22045;1.07;Medium
cod-2224;2006;23488;0.78;Medium
cod-2224;2007;23736;0.73;Medium
cod-2224;2008;20082;0.74;Medium
cod-2224;2009;15290;0.72;Medium
cod-2532;1966;134867;0.83;Medium
cod-2532;1967;152378;1.15;Medium
cod-2532;1968;164472;1.13;Medium
cod-2532;1969;169909;1.09;Medium
cod-2532;1970;154492;1.12;Medium
cod-2532;1971;118217;0.91;Medium
cod-2532;1972;143833;1.04;Medium
cod-2532;1973;143164;0.97;Medium
cod-2532;1974;147815;0.83;Medium
cod-2532;1975;194649;0.69;Medium
cod-2532;1976;203303;0.92;Medium
cod-2532;1977;164792;0.84;Medium
cod-2532;1978;154009;0.53;Medium
cod-2532;1979;227699;0.49;Medium
cod-2532;1980;347619;0.73;Medium
cod-2532;1981;330742;0.8;Medium
cod-2532;1982;316052;0.73;Medium
