stock;yr;ct;res
ACADREDGOMGB;1913;7;Low
ACADREDGOMGB;1914;30;Low
ACADREDGOMGB;1915;40;Low
ACADREDGOMGB;1916;53;Low
ACADREDGOMGB;1917;82;Low
ACADREDGOMGB;1918;73;Low
ACADREDGOMGB;1919;25;Low
ACADREDGOMGB;1920;31;Low
ACADREDGOMGB;1921;13;Low
ACADREDGOMGB;1922;9;Low
ACADREDGOMGB;1923;7;Low
ACADREDGOMGB;1924;40;Low
ACADREDGOMGB;1925;25;Low
ACADREDGOMGB;1926;30;Low
ACADREDGOMGB;1927;30;Low
ACADREDGOMGB;1928;57;Low
ACADREDGOMGB;1929;34;Low
ACADREDGOMGB;1930;54;Low
ACADREDGOMGB;1931;108;Low
ACADREDGOMGB;1932;60;Low
ACADREDGOMGB;1933;120;Low
ACADREDGOMGB;1934;519;Low
ACADREDGOMGB;1935;7549;Low
ACADREDGOMGB;1936;23162;Low
ACADREDGOMGB;1937;14823;Low
ACADREDGOMGB;1938;20640;Low
ACADREDGOMGB;1939;25406;Low
ACADREDGOMGB;1940;26762;Low
ACADREDGOMGB;1941;50796;Low
ACADREDGOMGB;1942;55892;Low
ACADREDGOMGB;1943;48348;Low
ACADREDGOMGB;1944;50439;Low
ACADREDGOMGB;1945;37912;Low
ACADREDGOMGB;1946;42423;Low
ACADREDGOMGB;1947;40160;Low
ACADREDGOMGB;1948;43631;Low
ACADREDGOMGB;1949;30743;Low
ACADREDGOMGB;1950;34307;Low
ACADREDGOMGB;1951;30077;Low
ACADREDGOMGB;1952;21377;Low
ACADREDGOMGB;1953;16791;Low
ACADREDGOMGB;1954;12988;Low
ACADREDGOMGB;1955;13914;Low
ACADREDGOMGB;1956;14388;Low
ACADREDGOMGB;1957;18490;Low
ACADREDGOMGB;1958;16047;Low
ACADREDGOMGB;1959;15521;Low
ACADREDGOMGB;1960;11375;Low
ACADREDGOMGB;1961;14101;Low
ACADREDGOMGB;1962;14134;Low
ACADREDGOMGB;1963;10046;Low
ACADREDGOMGB;1964;8313;Low
ACADREDGOMGB;1965;8057;Low
ACADREDGOMGB;1966;8569;Low
ACADREDGOMGB;1967;10864;Low
ACADREDGOMGB;1968;6777;Low
ACADREDGOMGB;1969;12455;Low
ACADREDGOMGB;1970;16741;Low
ACADREDGOMGB;1971;20034;Low
ACADREDGOMGB;1972;19095;Low
ACADREDGOMGB;1973;17360;Low
ACADREDGOMGB;1974;10471;Low
ACADREDGOMGB;1975;10572;Low
ACADREDGOMGB;1976;10696;Low
ACADREDGOMGB;1977;13223;Low
ACADREDGOMGB;1978;14083;Low
ACADREDGOMGB;1979;14755;Low
ACADREDGOMGB;1980;10183;Low
ACADREDGOMGB;1981;7915;Low
ACADREDGOMGB;1982;6903;Low
ACADREDGOMGB;1983;5328;Low
ACADREDGOMGB;1984;4793;Low
ACADREDGOMGB;1985;4282;Low
ACADREDGOMGB;1986;2929;Low
ACADREDGOMGB;1987;1894;Low
ACADREDGOMGB;1988;1177;Low
ACADREDGOMGB;1989;669;Low
ACADREDGOMGB;1990;639;Low
ACADREDGOMGB;1991;2039;Low
ACADREDGOMGB;1992;978;Low
ACADREDGOMGB;1993;1046;Low
ACADREDGOMGB;1994;546;Low
