"","X","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","year","catch","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","Res","Value","id","MSY","phi","g","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","BMSY","Biomass","B_over_K"
"1",424,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1968,70292,1.52486387409915,0.438434324592245,48,0.552010099086488,0.769450656028334,0.834450764008458,1,0.90154764966536,127338.25,2,-0.0816886745117266,0.552676970739199,0.552010099086488,140,5.25,0.190363637,17.35000038,0.4,0.438434324592245,0.0808974649856468,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.52486387409915,0.201978423290638,0.992533895156993,1158058.22382211,1765881.14960977,0.609919171105677
"2",529,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1969,77870,1.49873544322257,0.430566905912329,47,0.611520890227406,0.552010099086488,0.769450656028334,0.834450764008458,1,127338.25,2,-0.0816886745117266,0.552676970739199,0.611520890227406,140,5.25,0.190363637,17.35000038,0.4,0.430566905912329,0.0804632412492565,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.49873544322257,0.201978423290638,1.11870535988623,1158058.22382211,1735622.90535757,0.599468250749293
"3",634,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1970,63626,1.47319440674962,0.297325019767271,46,0.499661335066251,0.611520890227406,0.552010099086488,0.769450656028334,0.834450764008458,127338.25,2,-0.0816886745117266,0.552676970739199,0.499661335066251,140,5.25,0.190363637,17.35000038,0.4,0.297325019767271,0.0771191067267542,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.47319440674962,0.201978423290638,0.929918915816341,1158058.22382211,1706044.89802514,0.58925227799306
"4",739,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1971,88140,1.44143654962307,0.496551407215298,45,0.692172226334193,0.499661335066251,0.611520890227406,0.552010099086488,0.769450656028334,127338.25,2,-0.0816886745117266,0.552676970739199,0.692172226334193,140,5.25,0.190363637,17.35000038,0.4,0.496551407215298,0.0795190407568602,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.44143654962307,0.201978423290638,1.31658237912536,1158058.22382211,1669267.45040876,0.576549684519813
"5",844,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1972,92104,1.40114435190601,0.581631457500241,44,0.723301914389431,0.692172226334193,0.499661335066251,0.611520890227406,0.552010099086488,127338.25,2,-0.0816886745117266,0.552676970739199,0.723301914389431,140,5.25,0.190363637,17.35000038,0.4,0.581631457500241,0.0749524542717813,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.40114435190601,0.201978423290638,1.41535744366828,1158058.22382211,1622606.73948665,0.560433502445442
"6",949,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1973,93679,1.35805059425109,0.592504140391776,43,0.735670546752449,0.723301914389431,0.692172226334193,0.499661335066251,0.611520890227406,127338.25,2,-0.0816886745117266,0.552676970739199,0.735670546752449,140,5.25,0.190363637,17.35000038,0.4,0.592504140391776,0.0740092968482443,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.35805059425109,0.201978423290638,1.48524062008127,1158058.22382211,1572701.65903898,0.543196744859953
"7",1054,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1974,97163,1.31425733359093,0.639961369062675,42,0.763030746849435,0.735670546752449,0.723301914389431,0.692172226334193,0.499661335066251,127338.25,2,-0.0816886745117266,0.552676970739199,0.763030746849435,140,5.25,0.190363637,17.35000038,0.4,0.639961369062675,0.0731855382780625,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.31425733359093,0.201978423290638,1.5918092667809,1158058.22382211,1521986.51338349,0.525680198173029
"8",1159,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1975,68861,1.27109681935098,0.345823667385953,41,0.540772313110947,0.763030746849435,0.735670546752449,0.723301914389431,0.692172226334193,127338.25,2,-0.0816886745117266,0.552676970739199,0.540772313110947,140,5.25,0.190363637,17.35000038,0.4,0.345823667385953,0.073116737429434,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.27109681935098,0.201978423290638,1.16644755027016,1158058.22382211,1472004.12492353,0.508416739108347
"9",1264,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1976,107071,1.22533336484878,0.648988778395663,40,0.840839260787705,0.540772313110947,0.763030746849435,0.735670546752449,0.723301914389431,127338.25,2,-0.0816886745117266,0.552676970739199,0.840839260787705,140,5.25,0.190363637,17.35000038,0.4,0.648988778395663,0.0823577688060317,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.22533336484878,0.201978423290638,1.88143024723718,1158058.22382211,1419007.38008675,0.490112148966881
"10",1369,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1977,54027,1.20552764960587,0.1808315581727,39,0.424279429001105,0.840839260787705,0.540772313110947,0.763030746849435,0.735670546752449,127338.25,2,-0.0816886745117266,0.552676970739199,0.424279429001105,140,5.25,0.190363637,17.35000038,0.4,0.1808315581727,0.0950020635288922,"M1",1,TRUE,"Medium",1,"Japan-4",46443.9851885782,0.188005801001991,0.0401033174788148,2895270.77236896,0.104119958503368,0.352797320184953,0.249857202743949,1.20552764960587,0.201978423290638,0.964948641947237,1158058.22382211,1396071.20867102,0.482190205487665
