"","X","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","year","catch","BvBmsy","LogBvBmsy","YearsBack","ScaledCatch","ScaledCatch1Back","ScaledCatch2Back","ScaledCatch3Back","ScaledCatch4Back","MaxCatch","TimeToMaxCatch","InitialScaledCatchSlope","MeanScaledCatch","CatchToRollingMax","MaxLength","AgeMat","VonBertK","Temp","b_to_k_ratio","regression_LogBvBmsy","BvBmsySD","model","model_number","model_worked","Res","Value","id","MSY","phi","g","k","MSYLogSd","gLogSd","KLogSd","CatchMSYBvBmsy","CatchMSYBvBmsy_LogSd","FvFmsy","BMSY","Biomass","B_over_K"
"1",424,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1968,70292,1.52486387409915,0.438434324592245,48,0.552010099086488,0.769450656028334,0.834450764008458,1,0.90154764966536,127338.25,2,-0.0816886745117266,0.552676970739199,0.552010099086488,140,5.25,0.190363637,17.35000038,0.4,0.438434324592245,0.0808974649856468,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.52486387409915,0.201444765838634,1.00982017935275,1214576.43887786,1852063.73397685,0.609919171105677
"2",529,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1969,77870,1.49938167245777,0.430566905912329,47,0.611520890227406,0.552010099086488,0.769450656028334,0.834450764008458,1,127338.25,2,-0.0816886745117266,0.552676970739199,0.611520890227406,140,5.25,0.190363637,17.35000038,0.4,0.430566905912329,0.0804632412492565,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.49938167245777,0.201444765838634,1.13769852995393,1214576.43887786,1821113.65225248,0.599726731264288
"3",634,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1970,63626,1.47442945757449,0.297325019767271,46,0.499661335066251,0.611520890227406,0.552010099086488,0.769450656028334,0.834450764008458,127338.25,2,-0.0816886745117266,0.552676970739199,0.499661335066251,140,5.25,0.190363637,17.35000038,0.4,0.297325019767271,0.0771191067267542,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.47442945757449,0.201444765838634,0.945322167985811,1214576.43887786,1790807.27995744,0.589746276957934
"4",739,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1971,88140,1.4435586705001,0.496551407215298,45,0.692172226334193,0.499661335066251,0.611520890227406,0.552010099086488,0.769450656028334,127338.25,2,-0.0816886745117266,0.552676970739199,0.692172226334193,140,5.25,0.190363637,17.35000038,0.4,0.496551407215298,0.0795190407568602,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.4435586705001,0.201444765838634,1.33754322780403,1214576.43887786,1753312.34932727,0.577398496160177
"5",844,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1972,92104,1.40456806102499,0.581631457500241,44,0.723301914389431,0.692172226334193,0.499661335066251,0.611520890227406,0.552010099086488,127338.25,2,-0.0816886745117266,0.552676970739199,0.723301914389431,140,5.25,0.190363637,17.35000038,0.4,0.581631457500241,0.0749524542717813,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.40456806102499,0.201444765838634,1.43649766124239,1214576.43887786,1705955.27372132,0.561802926866484
"6",949,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1973,93679,1.36288988649047,0.592504140391776,43,0.735670546752449,0.723301914389431,0.692172226334193,0.499661335066251,0.611520890227406,127338.25,2,-0.0816886745117266,0.552676970739199,0.735670546752449,140,5.25,0.190363637,17.35000038,0.4,0.592504140391776,0.0740092968482443,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.36288988649047,0.201444765838634,1.50574246136831,1214576.43887786,1655333.94491624,0.54513237804106
"7",1054,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1974,97163,1.32052322600143,0.639961369062675,42,0.763030746849435,0.735670546752449,0.723301914389431,0.692172226334193,0.499661335066251,127338.25,2,-0.0816886745117266,0.552676970739199,0.763030746849435,140,5.25,0.190363637,17.35000038,0.4,0.639961369062675,0.0731855382780625,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.32052322600143,0.201444765838634,1.61184802570461,1214576.43887786,1603876.39729232,0.528186446743912
"8",1159,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1975,68861,1.27873962880268,0.345823667385953,41,0.540772313110947,0.763030746849435,0.735670546752449,0.723301914389431,0.692172226334193,127338.25,2,-0.0816886745117266,0.552676970739199,0.540772313110947,140,5.25,0.190363637,17.35000038,0.4,0.345823667385953,0.073116737429434,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.27873962880268,0.201444765838634,1.17966969028628,1214576.43887786,1553127.02460315,0.511473730676497
"9",1264,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1976,107071,1.234486162158,0.648988778395663,40,0.840839260787705,0.540772313110947,0.763030746849435,0.735670546752449,0.723301914389431,127338.25,2,-0.0816886745117266,0.552676970739199,0.840839260787705,140,5.25,0.190363637,17.35000038,0.4,0.648988778395663,0.0823577688060317,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.234486162158,0.201444765838634,1.90000547729155,1214576.43887786,1499377.80667786,0.493773109556844
"10",1369,"Japan-4","Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",1977,54027,1.21480420067116,0.1808315581727,39,0.424279429001105,0.840839260787705,0.540772313110947,0.763030746849435,0.735670546752449,127338.25,2,-0.0816886745117266,0.552676970739199,0.424279429001105,140,5.25,0.190363637,17.35000038,0.4,0.1808315581727,0.0950020635288922,"M1",1,TRUE,"Medium",1,"Japan-4",45648.9486627012,0.188005801001991,0.0375826279887466,3036572.42093142,0.102123468711897,0.330167066478091,0.229240832729024,1.21480420067116,0.201444765838634,0.974257567894442,1214576.43887786,1475472.55998504,0.485900665439247
