"","IdOrig","Fishery","SciName","stock","EngName"
"1594",1,"Abalones nei single_stock","Haliotis spp","single_stock","Abalones nei"
"4126",2,"Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","pacific_stock","Alaska pollock(=Walleye poll.)"
"4160",3,"Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Theragra chalcogramma","sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)"
"4277",4,"Albacore single_stock","Thunnus alalunga","single_stock","Albacore"
"1053",5,"Amberstripe scad single_stock","Decapterus muroadsi","single_stock","Amberstripe scad"
"1322",6,"Antarctic krill nei single_stock","Euphausia spp","single_stock","Antarctic krill nei"
"2593",7,"Bastard halibut pacific_central_stock","Paralichthys olivaceus","pacific_central_stock","Bastard halibut"
"2794",8,"Bastard halibut pacific_north_stock","Paralichthys olivaceus","pacific_north_stock","Bastard halibut"
"2686",9,"Bastard halibut sea_of_japan_north_central_stock","Paralichthys olivaceus","sea_of_japan_north_central_stock","Bastard halibut"
"2693",10,"Bastard halibut sea_of_japan_west_east_china_sea_stock","Paralichthys olivaceus","sea_of_japan_west_east_china_sea_stock","Bastard halibut"
"2664",11,"Bastard halibut seto_inland_sea_stock","Paralichthys olivaceus","seto_inland_sea_stock","Bastard halibut"
"4403",12,"Bigeye tuna single_stock","Thunnus obesus","single_stock","Bigeye tuna"
"1",13,"Blackhead seabream single_stock","Acanthopagrus schlegeli, Rhabdosargus sarba","single_stock","Blackhead seabream"
"32",14,"Blackhead seabream, Goldlined seabream single_stock","Acanthopagrus schlegeli, Rhabdosargus sarba","single_stock","Blackhead seabream, Goldlined seabream"
"1856",15,"Blue marlin single_stock","Makaira nigricans","single_stock","Blue marlin"
"3784",16,"Broadbanded thornyhead hokkaido_east_hokkaido_south","Sebastolobus macrochir","hokkaido_east_hokkaido_south","Broadbanded thornyhead"
"3796",17,"Broadbanded thornyhead pacific_north","Sebastolobus macrochir","pacific_north","Broadbanded thornyhead"
"946",18,"Conger eels nei single_stock","Conger spp","single_stock","Conger eels nei"
"1351",19,"Crison seabream, Yellowback seabream single_stock","Evynnis japonica, Dentex tumifrons","single_stock","Crison seabream, Yellowback seabream"
"3838",20,"Cuttlefishes nei single_stock","Sepia spp","single_stock","Cuttlefishes nei"
"1971",21,"Daggertooth pike conger single_stock","Muraenesox cinereus","single_stock","Daggertooth pike conger"
"967",22,"Dolphinfishes nei single_stock","Coryphaenidae","single_stock","Dolphinfishes nei"
"1758",23,"Dotted gizzard shad single_stock","Konosirus punctatus","single_stock","Dotted gizzard shad"
"1395",24,"Flyingfishes nei single_stock","Exocoetidae","single_stock","Flyingfishes nei"
"521",25,"Frigate and bullet tunas single_stock","Auxis thazard, A. rochei","single_stock","Frigate and bullet tunas"
"3190",26,"Imperial surf clam single_stock","Pseudocardium sybillae","single_stock","Imperial surf clam"
