"","Fishery","CommName","SciName"
"1","Albacore single_stock","Albacore","Thunnus alalunga"
"2","Japanese anchovy pacific_stock","Japanese anchovy","Engraulis japonicus"
"3","Japanese anchovy seto_inland_sea_stock","Japanese anchovy","Engraulis japonicus"
"4","Japanese anchovy tsushima_current_stock","Japanese anchovy","Engraulis japonicus"
"5","Japanese jack mackerel pacific_stock","Japanese jack mackerel","Trachurus japonicus"
"6","Japanese jack mackerel tsushima_current_stock","Japanese jack mackerel","Trachurus japonicus"
"7","Pacific bluefin tuna single_stock_exc_sbf_inc_sml","Pacific bluefin tuna","Thunnus orientalis"
"8","Pacific bluefin tuna single_stock_inc_sbf_exc_sml","Pacific bluefin tuna","Thunnus orientalis"
"9","Pacific herring single_stock","Pacific herring","Clupea pallasii"
"10","Pacific saury single_stock","Pacific saury","Cololabis saira"
"11","Red-eye round herring pacific_stock","Red-eye round herring","Etrumeus teres"
"12","Red-eye round herring tsushima_current_stock","Red-eye round herring","Etrumeus teres"
"13","Skipjack tuna single_stock","Skipjack tuna","Katsuwonus pelamis"
"14","Southern bluefin tuna single_stock","Southern bluefin tuna","Thunnus maccoyii"
"15","Bastard halibut pacific_central_stock","Bastard halibut","Paralichthys olivaceus"
"16","Bastard halibut pacific_north_stock","Bastard halibut","Paralichthys olivaceus"
"17","Bastard halibut sea_of_japan_north_central_stock","Bastard halibut","Paralichthys olivaceus"
"18","Bastard halibut sea_of_japan_west_east_china_sea_stock","Bastard halibut","Paralichthys olivaceus"
"19","Bastard halibut seto_inland_sea_stock","Bastard halibut","Paralichthys olivaceus"
"20","Bigeye tuna single_stock","Bigeye tuna","Thunnus obesus"
"21","Blue marlin single_stock","Blue marlin","Makaira nigricans"
"22","Dotted gizzard shad single_stock","Dotted gizzard shad","Konosirus punctatus"
"23","Japanese amberjack single_stock","Japanese amberjack","Seriola quinqueradiata"
"24","Japanese seabream pacific_central_stock","Japanese seabream","Pagrus major"
"25","Japanese seabream pacific_south_stock","Japanese seabream","Pagrus major"
"26","Japanese seabream sea_of_japan_north_central_stock","Japanese seabream","Pagrus major"
"27","Japanese seabream sea_of_japan_west_east_china_sea_stock","Japanese seabream","Pagrus major"
"28","Japanese seabream seto_inland_sea_central_west_stock","Japanese seabream","Pagrus major"
"29","Japanese seabream seto_inland_sea_east_stock","Japanese seabream","Pagrus major"
"30","Yellowfin tuna single_stock","Yellowfin tuna","Thunnus albacares"
"31","Abalones nei single_stock","Abalones nei","Haliotis spp"
"32","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","Theragra chalcogramma"
"33","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","Theragra chalcogramma"
"34","Amberstripe scad single_stock","Amberstripe scad","Decapterus muroadsi"
"35","Antarctic krill nei single_stock","Antarctic krill nei","Euphausia spp"
"36","Blackhead seabream single_stock","Blackhead seabream","Acanthopagrus schlegeli, Rhabdosargus sarba"
"37","Blackhead seabream, Goldlined seabream single_stock","Blackhead seabream, Goldlined seabream","Acanthopagrus schlegeli, Rhabdosargus sarba"
"38","Broadbanded thornyhead hokkaido_east_hokkaido_south","Broadbanded thornyhead","Sebastolobus macrochir"
"39","Broadbanded thornyhead pacific_north","Broadbanded thornyhead","Sebastolobus macrochir"
"40","Conger eels nei single_stock","Conger eels nei","Conger spp"
"41","Crison seabream, Yellowback seabream single_stock","Crison seabream, Yellowback seabream","Evynnis japonica, Dentex tumifrons"
"42","Cuttlefishes nei single_stock","Cuttlefishes nei","Sepia spp"
"43","Daggertooth pike conger single_stock","Daggertooth pike conger","Muraenesox cinereus"
"44","Dolphinfishes nei single_stock","Dolphinfishes nei","Coryphaenidae"
"45","Flyingfishes nei single_stock","Flyingfishes nei","Exocoetidae"
"46","Frigate and bullet tunas single_stock","Frigate and bullet tunas","Auxis thazard, A. rochei"
"47","Imperial surf clam single_stock","Imperial surf clam","Pseudocardium sybillae"
"48","Indo-Pacific gurnards single_stock","Indo-Pacific gurnards","Chelidonichthys spp"
"49","Japanese carpet shell single_stock","Japanese carpet shell","Ruditapes philippinarum"
"50","Japanese flying squid winter_stock","Japanese flying squid","Todarodes pacificus"
"51","Japanese hard clam single_stock","Japanese hard clam","Meretrix lusoria"
"52","Japanese pilchard pacific_stock","Japanese pilchard","Sardinops melanostictus"
"53","Japanese pilchard tsushima_current_stock","Japanese pilchard","Sardinops melanostictus"
"54","Japanese sandfish hokkaido","Japanese sandfish","Arctoscopus japonicus"
"55","Japanese sandfish sea_of_japan_north_stock","Japanese sandfish","Arctoscopus japonicus"
"56","Japanese sandfish sea_of_japan_west_stock","Japanese sandfish","Arctoscopus japonicus"
"57","Japanese seabass single_stock","Japanese seabass","Lateolabrax japonicus"
"58","Japanese Spanish mackerel east_china_sea_stock","Japanese Spanish mackerel","Scomberomorus niphonius"
"59","Japanese Spanish mackerel seto_inland_sea_stock","Japanese Spanish mackerel","Scomberomorus niphonius"
"60","Japanese spiny lobster single_stock","Japanese spiny lobster","Panulirus japonicus"
"61","King crabs single_stock","King crabs","Paralithodes spp"
"62","Largehead hairtail single_stock","Largehead hairtail","Trichiurus lepturus"
"63","Lizardfishes nei single_stock","Lizardfishes nei","Synodontidae"
"64","Mackerels nei pacific_stock","Mackerels nei","Scombridae"
"65","Mackerels nei tsushima_current_stock","Mackerels nei","Scombridae"
"66","Neon flying squid single_stock","Neon flying squid","Ommastrephes bartrami"
"67","Octopuses nei single_stock","Octopuses nei","Octopus spp"
"68","Okhotsk atka mackerel hokkaido_north","Okhotsk atka mackerel","Pleurogrammus azonus"
"69","Pacific cod hokkaido","Pacific cod","Gadus macrocephalus"
"70","Pacific cod pacific_north_stock","Pacific cod","Gadus macrocephalus"
"71","Pacific cod sea_of_japan_stock","Pacific cod","Gadus macrocephalus"
"72","Pacific ocean perch single_stock","Pacific ocean perch","Sebastes alutus"
"73","Pacific salmons nei single_stock","Pacific salmons nei","Oncorhynchus spp"
"74","Pufferfishes nei ise_mikawa_bay_stock","Pufferfishes nei","Takifugu spp"
"75","Pufferfishes nei sea_of_japan_east_china_sea_seto_inland_sea_stock","Pufferfishes nei","Takifugu spp"
"76","Queen crab okhotsk_stock","Queen crab","Chionoecetes opilio"
"77","Queen crab pacific","Queen crab","Chionoecetes opilio"
"78","Queen crab sea_of_japan_stock","Queen crab","Chionoecetes opilio"
"79","Rays and skates nei single_stock","Rays and skates nei","Rajidae"
"80","Red snow crab single_stock","Red snow crab","Chionoecetes japonicus"
"81","Righteye flounders nei hokkaido_north_stock","Righteye flounders nei","Pleuronectidae"
"82","Righteye flounders nei pacific_north","Righteye flounders nei","Pleuronectidae"
"83","Righteye flounders nei sea_of_japan_stock","Righteye flounders nei","Pleuronectidae"
"84","Rudderfish single_stock","Rudderfish","Centrolophus niger"
"85","Sandlances nei ise_mikawa_bay_stock","Sandlances nei","Ammodytidae"
"86","Sandlances nei sea_of_japan_stock","Sandlances nei","Ammodytidae"
"87","Sandlances nei sendai_bay_stock","Sandlances nei","Ammodytidae"
"88","Sandlances nei seto_inland_sea_east_stock","Sandlances nei","Ammodytidae"
"89","Sandlances nei soya_strait","Sandlances nei","Ammodytidae"
"90","Sea cucumbers nei single_stock","Sea cucumbers nei","Holothuroidea"
"91","Sea urchins nei single_stock","Sea urchins nei","Strongylocentrotus spp"
"92","Smelts nei pacific_stock","Smelts nei","Osmerus spp, Hypomesus spp"
"93","Smelts nei sea_of_japan_stock","Smelts nei","Osmerus spp, Hypomesus spp"
"94","Striped marlin single_stock","Striped marlin","Tetrapturus audax"
"95","Swimming crabs, etc. nei single_stock","Swimming crabs, etc. nei","Portunidae"
"96","Swordfish single_stock","Swordfish","Xiphias gladius"
"97","Tilefishes nei single_stock","Tilefishes nei","Branchiostegidae"
"98","Trouts nei single_stock","Trouts nei","Salmo spp"
"99","Turbans nei single_stock","Turbans nei","Turbo spp"
"100","Whitebait smelt single_stock","Whitebait smelt","Allosmerus elongatus"
"101","Yellow croaker single_stock","Yellow croaker","Larimichthys polyactis"
"102","Yesso scallop single_stock","Yesso scallop","Patinopecten yessoensis"
