Fishery,Country,Species,Scientific,Time,N,phi_lower,phi_expected,phi_upper,g_lower,g_expected,g_upper,K_lower,K_expected,K_upper,b0_lower,b0_expected,b0_upper,f0_total_lower,f0_total_expected,f0_total_upper,theta_domestic,theta_legal1_lower,theta_legal1_expected,theta_legal1_upper,theta_legal2_lower,theta_legal2_expected,theta_legal2_upper,p1_lower,p1_expected,p1_upper,p2_lower,p2_expected,p2_upper,beta_lower,beta_expected,beta_upper,c1_lower,c1_expected,c1_upper,c2_lower,c2_expected,c2_upper,disc_lower,disc_expected,disc_upper,gamma_p1,gamma_p2,gamma_c1,gamma_c2,lambda,split
Albacore single_stock,Japan,Albacore,Thunnus alalunga,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy pacific_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy seto_inland_sea_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese anchovy tsushima_current_stock,Japan,Japanese anchovy,Engraulis japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod hokkaido,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod pacific_north_stock,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific cod sea_of_japan_stock,Japan,Pacific cod,Gadus macrocephalus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Skipjack tuna single_stock,Japan,Skipjack tuna,Katsuwonus pelamis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Southern bluefin tuna single_stock,Japan,Southern bluefin tuna,Thunnus maccoyii,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Striped marlin single_stock,Japan,Striped marlin,Tetrapturus audax,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Swordfish single_stock,Japan,Swordfish,Xiphias gladius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska pollock(=Walleye poll.) pacific_stock,Japan,Alaska pollock(=Walleye poll.),Theragra chalcogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alaska pollock(=Walleye poll.) sea_of_japan_north_stock,Japan,Alaska pollock(=Walleye poll.),Theragra chalcogramma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese jack mackerel pacific_stock,Japan,Japanese jack mackerel,Trachurus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese jack mackerel tsushima_current_stock,Japan,Japanese jack mackerel,Trachurus japonicus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific bluefin tuna single_stock_exc_sbf_inc_sml,Japan,Pacific bluefin tuna,Thunnus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific bluefin tuna single_stock_inc_sbf_exc_sml,Japan,Pacific bluefin tuna,Thunnus orientalis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific ocean perch single_stock,Japan,Pacific ocean perch,Sebastes alutus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pacific saury single_stock,Japan,Pacific saury,Cololabis saira,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-eye round herring pacific_stock,Japan,Red-eye round herring,Etrumeus teres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Red-eye round herring tsushima_current_stock,Japan,Red-eye round herring,Etrumeus teres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut pacific_central_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut pacific_north_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut sea_of_japan_north_central_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut sea_of_japan_west_east_china_sea_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bastard halibut seto_inland_sea_stock,Japan,Bastard halibut,Paralichthys olivaceus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bigeye tuna single_stock,Japan,Bigeye tuna,Thunnus obesus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Blue marlin single_stock,Japan,Blue marlin,Makaira nigricans,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dotted gizzard shad single_stock,Japan,Dotted gizzard shad,Konosirus punctatus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Japanese Spanish mackerel east_china_sea_stock,Japan,Japanese Spanish mackerel,Scomberomorus niphonius,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
