"","EngName","year","stock","production_vol_t"
"1","Abalones nei",1962,"single_stock",4878.25
"2","Abalones nei",1963,"single_stock",4907
"3","Abalones nei",1964,"single_stock",4508.5
"4","Abalones nei",1965,"single_stock",4340.25
"5","Abalones nei",1966,"single_stock",5580.25
"6","Abalones nei",1967,"single_stock",5957.25
"7","Abalones nei",1968,"single_stock",4889
"8","Abalones nei",1969,"single_stock",6463
"9","Abalones nei",1970,"single_stock",6466
"10","Abalones nei",1971,"single_stock",5659
"11","Abalones nei",1972,"single_stock",5815
"12","Abalones nei",1973,"single_stock",5839
"13","Abalones nei",1974,"single_stock",4971
"14","Abalones nei",1975,"single_stock",5416
"15","Abalones nei",1976,"single_stock",5655
"16","Abalones nei",1977,"single_stock",5203
"17","Abalones nei",1978,"single_stock",5377
"18","Abalones nei",1979,"single_stock",4852
"19","Abalones nei",1980,"single_stock",4878
"20","Abalones nei",1981,"single_stock",4707.25
"21","Abalones nei",1982,"single_stock",4606.25
"22","Abalones nei",1983,"single_stock",4578.25
"23","Abalones nei",1984,"single_stock",3898.5
"24","Abalones nei",1985,"single_stock",4580.25
"25","Abalones nei",1986,"single_stock",4511.5
"26","Abalones nei",1987,"single_stock",4189.25
"27","Abalones nei",1988,"single_stock",3913
"28","Abalones nei",1989,"single_stock",3571
"29","Abalones nei",1990,"single_stock",3353
"30","Abalones nei",1991,"single_stock",3066
"31","Abalones nei",1992,"single_stock",2496
"32","Abalones nei",1993,"single_stock",2353
"33","Abalones nei",1994,"single_stock",2164
"34","Abalones nei",1995,"single_stock",1982.5
"35","Abalones nei",1996,"single_stock",1943.5
"36","Abalones nei",1997,"single_stock",2218.5
"37","Abalones nei",1998,"single_stock",2269.5
"38","Abalones nei",1999,"single_stock",2108.75
"39","Abalones nei",2000,"single_stock",2144.75
"40","Abalones nei",2001,"single_stock",1982.75
"41","Abalones nei",2002,"single_stock",2221.75
"42","Abalones nei",2003,"single_stock",2180.75
"43","Abalones nei",2004,"single_stock",1995.75
"44","Abalones nei",2005,"single_stock",1765.75
"45","Abalones nei",2006,"single_stock",1978
"46","Abalones nei",2007,"single_stock",2061
"47","Abalones nei",2008,"single_stock",1684.75
"48","Abalones nei",2009,"single_stock",1854.75
"49","Abalones nei",2010,"single_stock",1459.75
"50","Abalones nei",2011,"single_stock",1258.75
"51","Abalones nei",2012,"single_stock",1266.5
"52","Abalones nei",2013,"single_stock",1397.75
"53","Abalones nei",2014,"single_stock",1163.25
"54","Abalones nei",2015,"single_stock",1305
"55","Alaska pollock(=Walleye poll.)",1962,"pacific_stock",387451.25
"56","Alaska pollock(=Walleye poll.)",1962,"sea_of_japan_north_stock",2958
"57","Alaska pollock(=Walleye poll.)",1963,"pacific_stock",413881
"58","Alaska pollock(=Walleye poll.)",1963,"sea_of_japan_north_stock",3277
"59","Alaska pollock(=Walleye poll.)",1964,"pacific_stock",674400.5
"60","Alaska pollock(=Walleye poll.)",1964,"sea_of_japan_north_stock",8601.5
"61","Alaska pollock(=Walleye poll.)",1965,"pacific_stock",684035
"62","Alaska pollock(=Walleye poll.)",1965,"sea_of_japan_north_stock",6859
"63","Alaska pollock(=Walleye poll.)",1966,"pacific_stock",760704
"64","Alaska pollock(=Walleye poll.)",1966,"sea_of_japan_north_stock",14085
"65","Alaska pollock(=Walleye poll.)",1967,"pacific_stock",1232277
"66","Alaska pollock(=Walleye poll.)",1967,"sea_of_japan_north_stock",14728
"67","Alaska pollock(=Walleye poll.)",1968,"pacific_stock",1582946
"68","Alaska pollock(=Walleye poll.)",1968,"sea_of_japan_north_stock",23078
"69","Alaska pollock(=Walleye poll.)",1969,"pacific_stock",1876491
"70","Alaska pollock(=Walleye poll.)",1969,"sea_of_japan_north_stock",67829
"71","Alaska pollock(=Walleye poll.)",1970,"pacific_stock",2257407
