,IdOrig,Fishery,SciName,CommName,SpeciesCat,SpeciesCatName,Res1,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
1,1,Abalones nei single_stock,Haliotis spp,Abalones nei,52,"Abalones, winkles, conchs",Medium,49809.04903,50289.48421,54157.69419,56688.29414,58098.95341,51585.10309,45508.29529,51078.79294,54721.16586,48870.36127,49887.21928,52440.64708,56046.23135
2,2,Alaska pollock(=Walleye poll.) pacific_stock,Theragra chalcogramma,Alaska pollock(=Walleye poll.),32,"Cods, hakes, haddocks",2,890.9621418,910.0338829,1894.840958,1835.404033,876.916557,843.3586599,1102.172147,877.5709691,437.2094948,412.0580546,818.6207496,759.5172334,2208.619804
3,3,Alaska pollock(=Walleye poll.) sea_of_japan_north_stock,Theragra chalcogramma,Alaska pollock(=Walleye poll.),32,"Cods, hakes, haddocks",2,4992.306217,5339.746502,5100.649193,6284.734176,5250.109862,3589.640009,4429.63176,5928.487627,5119.550731,5834.061005,4845.753332,3197.428646,3531.547619
4,4,Albacore single_stock,Thunnus alalunga,Albacore,36,"Tunas, bonitos, billfishes",3,2949.068185,4102.874294,3620.694734,4187.851544,3628.580351,3825.120097,3358.252217,3065.481358,3545.823356,3031.23894,3163.7229,3144.233849,3557.149818
5,5,Amberstripe scad single_stock,Decapterus muroadsi,Amberstripe scad,37,Miscellaneous pelagic fishes,3,1886.469896,2117.872345,2480.582426,2075.160782,1941.122809,2000.192822,1656.396103,2136.404237,1470.529332,1827.501908,1236.477969,1531.191375,2063.037403
6,6,Antarctic krill nei single_stock,Euphausia spp,Antarctic krill nei,46,"Krill, planktonic crustaceans",Medium,1142.538499,766.2471095,951.3096689,2760.944345,3008.44007,2172.383021,3161.539521,2139.560881,3936.525788,550.1220496,3193.528969,990.9888888,313.814282
7,7,Bastard halibut pacific_central_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,19464.63146,20018.66674,19892.22627,18137.84514,13313.32788,14159.57457,14032.57482,10850.2045,10211.95506,9908.575962,9843.891755,10934.74233,11513.44033
8,8,Bastard halibut pacific_north_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,13692.12017,13776.61197,11422.62266,9390.22272,9767.751882,10684.77684,9220.192942,8601.873139,8519.18313,7875.981814,6356.017079,6849.876964,7149.411786
9,9,Bastard halibut sea_of_japan_north_central_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,13828.72389,13525.85166,12925.35875,12160.55737,12182.02083,13430.60278,11990.63596,11068.85639,11098.75592,11268.32767,10002.56875,10204.88186,10368.89747
10,10,Bastard halibut sea_of_japan_west_east_china_sea_stock,Paralichthys olivaceus,Bastard halibut,31,"Flounders, halibuts, soles",3,15096.51812,14455.32156,14790.82223,14485.60895,13522.99794,13448.64038,12321.37204,12032.42733,12020.39393,12413.46912,11624.43627,11736.79625,11472.79753
