"","IdOrig","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","Res1","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"1",1,"Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs","Medium",4508.5,4340.25,5580.25,5957.25,4889,6463,6466,5659,5815,5839,4971,5416,5655,5203,5377,4852,4878,4707.25,4606.25,4578.25,3898.5,4580.25,4511.5,4189.25,3913,3571,3353,3066,2496,2353,2164,1982.5,1943.5,2218.5,2269.5,2108.75,2144.75,1982.75,2221.75,2180.75,1995.75,1765.75,1978,2061,1684.75,1854.75,1459.75,1258.75,1266.5,1397.75,1163.25,1305
"2",2,"Alaska pollock(=Walleye poll.) pacific_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks","2",674400.5,684035,760704,1232277,1582946,1876491,2257407,2512872,2802242,2842713,2735651,2575420,2330854,1831099,1463031,1472549,1457968,1499755,1473689,1347663,1534939.25,1469531,1368969,1255286,1202035,1070805,836190,533224,492424,377374,375632,334743,328163,336357,313723.25,380459,298162.25,240246.25,211809,218375,238127,192913.25,205829.25,215602,210043,226706,250728,238514,229563,229293,194608,179778.25
"3",3,"Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Theragra chalcogramma","Alaska pollock(=Walleye poll.)",32,"Cods, hakes, haddocks","2",8601.5,6859,14085,14728,23078,67829,89303,194571,233043,176157,120245,101951,114569,99973,83146,78564,94455,95550,93792,86765,86412,62780,52813,57223,57060,82945.25,35218,7722,6332,4934,3719,3765.5,3000.75,2428,2262.25,1925.75,1839.5,1635,1445.75,1277.75,1248.75,1135.5,966,1034.75,994,554.5,440,406.5,259.75,285.75,312.25,188.25
"4",4,"Albacore single_stock","Thunnus alalunga","Albacore",36,"Tunas, bonitos, billfishes","3",114801.5,127338.25,106257.5,97980.5,70292,77870,63626,88140,92104,93679,97163,68861,107071,54027,87672,66821,69676.25,64085,70043,51512.5,63624,57820,51136.25,46945.25,45151,45273.25,43315,38213,48709,60331,73993,63628.75,61147.5,83959.25,74161,100688,66431.5,69803.5,90103,68275,69377,52999.25,50630.75,78033.75,52308.25,64055,52738,59287.5,75450,70076,60542.25,52373.25
"5",5,"Amberstripe scad single_stock","Decapterus muroadsi","Amberstripe scad",37,"Miscellaneous pelagic fishes","3",22101,33602.5,37303.5,95474,46715,57771,53751,44600,42064,54666,50235,49647,78963,98344,95140,101368,91313.25,60416.5,69089.5,43970.5,98153.25,71666.25,70653.75,70625.25,62590.25,98298.25,109250,91795,62101,49913,47810,72109.5,57320.75,50099.25,59078.5,47158,36417.25,41234.5,41832.25,37828.5,26181.75,22897,23671.75,25651.75,34710.75,26956.25,25064.75,25053.25,23970.5,24204.25,16438,14838.5
"6",6,"Antarctic krill nei single_stock","Euphausia spp","Antarctic krill nei",46,"Krill, planktonic crustaceans","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60783.25,58890,63028.5,67945,49784,74073,49618,41200,50916,46668,46042,37227.25,38728.5,41562.25,29983,40503.25,3168.5,18855,26235.25,16704,26662
"7",7,"Bastard halibut pacific_central_stock","Paralichthys olivaceus","Bastard halibut",31,"Flounders, halibuts, soles","3",600.75,1181,1028,998,984,568,673,680,700,789,613,624,609,528,525,479,457.25,487.25,423,414,360,778,917,679,470,450,520,612,516,596,581,649,716,735,651,532,510,500,564,587,573,561,640,663,598,749,665,704,816,908,958,1003
"8",8,"Bastard halibut pacific_north_stock","Paralichthys olivaceus","Bastard halibut",31,"Flounders, halibuts, soles","3",3500.25,2069,1909,2256,2073,2460,2531,3057,2643,2523,2341,2326,1989,1676,1679,1590,1726,1412,1126,871,958,1274,1911,1526,1271,835,1065,1332,1408,1033,1122,1484,1919,2305,2280,2373,2300,1930,1970,1740,1485,1652,2098,2629,2243,2366,2508,2013,1690,2838,3017,3275
"9",9,"Bastard halibut sea_of_japan_north_central_stock","Paralichthys olivaceus","Bastard halibut",31,"Flounders, halibuts, soles","3",1600.75,1832,2019,2488,2518,2492,2544,2676,3348,4014,3344,2617,2843,2497,2933,2622,2750,2222,2488,2776,2260,1850,1699,1221,1279,1021,1250,1381,1806,1910,1961,2311,2317,2293,2025,1783,2383,1989,1856,1843,1554,1663,2120,2468,2235,1865,2339,1826,1438,1817,1830,1852
"10",10,"Bastard halibut sea_of_japan_west_east_china_sea_stock","Paralichthys olivaceus","Bastard halibut",31,"Flounders, halibuts, soles","3",1401.25,1390.25,1426,1691.25,2083,1037,957,796,1092,1215,1333,1249,1264,1245,1452,1393,1499,1449,1665,1754,2512,2980,2497,1685,2649,2059,1582,1742,1909,1739,1817,1839,2040,1837,1435,1187,1133,1065.25,1070.25,1163,1161,1100,1361,1320,1263,1180,1153,1096,1154,1064,1002,1043
"11",11,"Bastard halibut seto_inland_sea_stock","Paralichthys olivaceus","Bastard halibut",31,"Flounders, halibuts, soles","3",702.25,630,699,805,1096,277,505,410,515,413,405,355,453,500,620,733,679,752.25,684,846,1005,1302,1333,1278,1317,1353,1100,1209,1178,1186,1186,1275,1319,1193,1225,1325,1245,1246,1218,1113,1141,1119,1171,1056,1162,1057,1038,1016,957,883,840,735
"12",12,"Bigeye tuna single_stock","Thunnus obesus","Bigeye tuna",36,"Tunas, bonitos, billfishes","3",110401.25,110488,105711,105928,96120,100047,92342,89489,98257,101247,101755,113445,114775,128333,127666,130466,123168,110514,131770,139164,131425.25,148940,157806,140985,135856,117263.25,122148,124501,143560,139507,125696,116233,101589,107836.25,98893.25,98599.5,87053,90083,90100.25,82796.25,79940.25,71665.25,70744.5,77608.25,62316,56207,54422,53460,53999,51014,54212,52527.25
"13",13,"Blackhead seabream single_stock","Acanthopagrus schlegeli, Rhabdosargus sarba","Blackhead seabream",33,"Miscellaneous coastal fishes","Medium",2805.75,4092.5,4216.5,3957.25,4045,3664,3729,3877,3842,3597,3804,5437,4740,4795,4602,4323,4532,4297.25,4059,3905.25,3790.5,4073.5,4324.25,4029.25,3833.5,3909.25,3870,3945,3858,3787,3600,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"14",14,"Blackhead seabream, Goldlined seabream single_stock","Acanthopagrus schlegeli, Rhabdosargus sarba","Blackhead seabream, Goldlined seabream",33,"Miscellaneous coastal fishes","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4302,4181.75,3888.75,3773.75,3812.25,3826.5,3910.25,3908.5,3773.25,3760.25,3899.25,3800,3402.25,3708.25,3535.25,3467.25,3578.75,3507.75,3124.75,3120.75,3180.5
"15",15,"Blue marlin single_stock","Makaira nigricans","Blue marlin",36,"Tunas, bonitos, billfishes","3",30204,27663.25,24776.25,20247.25,17222,16795,17216,12269,11258,11327,12074,10611,10046,11073,13752,12708,14369,15076,15386,16069,17837,15910,14748,15542,16498,11104.25,10521,10257,11310,11746,12197,12923,8821,8452.25,8659.25,8896.5,7169.5,6333,5827.25,5593.25,5851.25,5541,4483,5328.25,4587,4090.25,4999.25,4476,3896,3844,3303,3221
"16",16,"Broadbanded thornyhead hokkaido_east_hokkaido_south","Sebastolobus macrochir","Broadbanded thornyhead",34,"Miscellaneous demersal fishes","2",3200,3264,4052,5171,6113,4672,4563,5152,5138,5002,5618,6725,6190,4610,4551,4060,4841,4298,5946.25,4856,3368,3412,2708,2746,3103,2389,1745,1889,2338,2448,2120,2050,1627,1403,1052,880,783,699,856,664,801,664,621.25,544.25,474.25,491,465,598,690,675,618,611
"17",17,"Broadbanded thornyhead pacific_north","Sebastolobus macrochir","Broadbanded thornyhead",34,"Miscellaneous demersal fishes","2",6500.5,5890,6106,5615,6081,7782,8246,7780,7817,5374,6155,6217,6822,4825,7183,5867,7028,6404,6632,5942,3908.25,3209.25,1616,2406,2277,2286,2046,1777,1455,1146,939,838.25,691.25,679.25,586.25,434.25,462.25,433.25,467,665,427,760,649,597.25,713,971,720,491,573.25,370,368,487
"18",18,"Conger eels nei single_stock","Conger spp","Conger eels nei",34,"Miscellaneous demersal fishes","Medium",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12979.5,12007.25,11707.25,9444.25,8165.75,8364.5,7999.5,8921.5,8680.5,7940.25,6859.5,7918,6378.25,6337.25,5954.75,5111.75,4378.5,4485.5,4500.25,3959.5,3796.5
