"","sciname","Resilience","SpecCode"
"1","Lepidotrigla microptera","Medium",11938
"2","Parapristipoma trilineatum","Medium",4584
"3","Theragra chalcogramma","Low",318
"4","Thunnus alalunga","Medium",142
"7","Decapterus muroadsi","Medium",12302
"8","Paralichthys olivaceus","Medium",1351
"9","Thunnus obesus","Medium",146
"11","Makaira nigricans","Medium",216
"12","Sebastolobus macrochir","Low",11704
"13","Muraenesox cinereus","Low",298
"14","Konosirus punctatus","High",1609
"15","Seriola quinqueradiata","Medium",381
"16","Engraulis japonicus","High",1663
"17","Trachurus japonicus","Medium",366
"18","Arctoscopus japonicus","Medium",463
"19","Lateolabrax japonicus","Medium",4589
"20","Pagrus major","Low",445
"21","Scomberomorus niphonius","Medium",131
"22","Trichiurus lepturus","Low",1288
"23","Pleurogrammus azonus","Medium",510
"24","Thunnus orientalis","Medium",14290
"25","Gadus macrocephalus","Medium",308
"26","Gadus macrocephalus","Low",308
"27","Sebastes alutus","Very low",504
"28","Cololabis saira","High",303
"29","Centrolophus niger","Very low",249
"30","Katsuwonus pelamis","Medium",107
"31","Thunnus maccoyii","Low",145
"32","Xiphias gladius","Medium",226
"34","Allosmerus elongatus","Medium",2694
"35","Larimichthys polyactis","Medium",416
"36","Dentex tumifrons","Medium",4710
"37","Thunnus albacares","Medium",143
