"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","npv1","npv2"
"1","Abalones nei single_stock","Abalones nei","SQ",1,"no_CS","illegal_fishing",2,1524067475.23804,0
"2","Abalones nei single_stock","Abalones nei","FMSY",1,"no_CS","illegal_fishing",2,1485347982.73783,0
"3","Abalones nei single_stock","Abalones nei","minRec",1,"no_CS","illegal_fishing",2,1603081949.3616,0
"4","Abalones nei single_stock","Abalones nei","econOpt",1,"no_CS","illegal_fishing",2,1575629508.23093,0
"5","Abalones nei single_stock","Abalones nei","close",1,"no_CS","illegal_fishing",2,28262535.8225153,0
"6","Abalones nei single_stock","Abalones nei","openA",1,"no_CS","illegal_fishing",2,579290011.358792,0
"7","Abalones nei single_stock","Abalones nei","SQ",1,"CS","illegal_fishing",2,2634629549.56435,0
"8","Abalones nei single_stock","Abalones nei","FMSY",1,"CS","illegal_fishing",2,2766769964.6506,0
"9","Abalones nei single_stock","Abalones nei","minRec",1,"CS","illegal_fishing",2,2723555589.24656,0
"10","Abalones nei single_stock","Abalones nei","econOpt",1,"CS","illegal_fishing",2,2519790151.921,0
"11","Abalones nei single_stock","Abalones nei","close",1,"CS","illegal_fishing",2,28262535.8225153,0
"12","Abalones nei single_stock","Abalones nei","openA",1,"CS","illegal_fishing",2,1695441197.77845,0
"13","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","SQ",1,"no_CS","illegal_fishing",2,1476984835.82117,0
"14","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"no_CS","illegal_fishing",2,-1213066858.74346,0
"15","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","minRec",1,"no_CS","illegal_fishing",2,5558979202.53148,0
"16","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"no_CS","illegal_fishing",2,5160831180.26217,0
"17","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","close",1,"no_CS","illegal_fishing",2,-199843473.582531,0
"18","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","openA",1,"no_CS","illegal_fishing",2,2861121489.70417,0
"19","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","SQ",1,"CS","illegal_fishing",2,8500262236.35234,0
