"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","recTime"
"1","Abalones nei single_stock","Abalones nei","SQ",1,"no_CS","illegal_fishing",2,9
"2","Abalones nei single_stock","Abalones nei","FMSY",1,"no_CS","illegal_fishing",2,13
"3","Abalones nei single_stock","Abalones nei","minRec",1,"no_CS","illegal_fishing",2,5
"4","Abalones nei single_stock","Abalones nei","econOpt",1,"no_CS","illegal_fishing",2,5
"5","Abalones nei single_stock","Abalones nei","close",1,"no_CS","illegal_fishing",2,5
"6","Abalones nei single_stock","Abalones nei","openA",1,"no_CS","illegal_fishing",2,NA
"7","Abalones nei single_stock","Abalones nei","SQ",1,"CS","illegal_fishing",2,9
"8","Abalones nei single_stock","Abalones nei","FMSY",1,"CS","illegal_fishing",2,13
"9","Abalones nei single_stock","Abalones nei","minRec",1,"CS","illegal_fishing",2,5
"10","Abalones nei single_stock","Abalones nei","econOpt",1,"CS","illegal_fishing",2,5
"11","Abalones nei single_stock","Abalones nei","close",1,"CS","illegal_fishing",2,5
"12","Abalones nei single_stock","Abalones nei","openA",1,"CS","illegal_fishing",2,NA
"13","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","SQ",1,"no_CS","illegal_fishing",2,49
"14","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"no_CS","illegal_fishing",2,NA
"15","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","minRec",1,"no_CS","illegal_fishing",2,27
"16","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"no_CS","illegal_fishing",2,29
"17","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","close",1,"no_CS","illegal_fishing",2,27
"18","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","openA",1,"no_CS","illegal_fishing",2,NA
"19","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","SQ",1,"CS","illegal_fishing",2,49
"20","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"CS","illegal_fishing",2,NA
"21","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","minRec",1,"CS","illegal_fishing",2,27
"22","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"CS","illegal_fishing",2,29
"23","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","close",1,"CS","illegal_fishing",2,27
"24","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","openA",1,"CS","illegal_fishing",2,NA
"25","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","SQ",1,"no_CS","illegal_fishing",2,21
"26","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"no_CS","illegal_fishing",2,NA
"27","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","minRec",1,"no_CS","illegal_fishing",2,21
"28","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"no_CS","illegal_fishing",2,23
"29","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","close",1,"no_CS","illegal_fishing",2,21
"30","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","openA",1,"no_CS","illegal_fishing",2,21
"31","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","SQ",1,"CS","illegal_fishing",2,21
"32","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"CS","illegal_fishing",2,NA
"33","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","minRec",1,"CS","illegal_fishing",2,21
"34","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"CS","illegal_fishing",2,23
"35","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","close",1,"CS","illegal_fishing",2,21
"36","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","openA",1,"CS","illegal_fishing",2,21
"37","Albacore single_stock","Albacore","SQ",1,"no_CS","illegal_fishing",2,NA
"38","Albacore single_stock","Albacore","FMSY",1,"no_CS","illegal_fishing",2,14
"39","Albacore single_stock","Albacore","minRec",1,"no_CS","illegal_fishing",2,8
"40","Albacore single_stock","Albacore","econOpt",1,"no_CS","illegal_fishing",2,NA
"41","Albacore single_stock","Albacore","close",1,"no_CS","illegal_fishing",2,8
"42","Albacore single_stock","Albacore","openA",1,"no_CS","illegal_fishing",2,NA
"43","Albacore single_stock","Albacore","SQ",1,"CS","illegal_fishing",2,NA
"44","Albacore single_stock","Albacore","FMSY",1,"CS","illegal_fishing",2,14
"45","Albacore single_stock","Albacore","minRec",1,"CS","illegal_fishing",2,8
"46","Albacore single_stock","Albacore","econOpt",1,"CS","illegal_fishing",2,NA
