"time","management","biomass","harvest","profit","manag"
1,"BAU",76845346.7120028,3182637.5284373,1491337274.48195,"BAU"
1,"econOpt",76845346.7120028,3182637.5284373,1491337274.48195,"Econ. opt."
1,"FMSY",76845346.7120028,3182637.5284373,1491337274.48195,"FMSY"
2,"BAU",77544063.7911424,3166536.50107404,1419671147.60186,"BAU"
2,"econOpt",77544063.7911424,2130267.47462183,5265793676.4606,"Econ. opt."
2,"FMSY",77544063.7911424,2895088.96935064,3189327428.57819,"FMSY"
3,"BAU",78286927.9473844,3154060.40790399,1358286288.56964,"BAU"
3,"econOpt",79323196.9738366,1641353.59644852,3474394133.52041,"Econ. opt."
3,"FMSY",78558375.4791078,2926155.61612744,3222974315.29661,"FMSY"
4,"BAU",79069507.3747347,3144841.12306043,1306083224.06288,"BAU"
4,"econOpt",81715575.1039718,1576176.41976504,3330440047.9206,"Econ. opt."
4,"FMSY",79596357.5052435,2958460.49560774,3262395835.72037,"FMSY"
5,"BAU",79887784.9596169,3138553.76285182,1262099610.50713,"BAU"
5,"econOpt",84267380.1418924,1554575.33219209,3255733599.6111,"Econ. opt."
5,"FMSY",80654242.6455003,2991796.51205517,3306587957.12747,"FMSY"
6,"BAU",80738100.1240894,3134910.29226545,1225489259.03982,"BAU"
6,"econOpt",86929214.9742115,1557304.69848154,3230247089.46792,"Econ. opt."
6,"FMSY",81728784.2543976,3025990.99462713,3354740511.07525,"FMSY"
7,"BAU",81617100.8763639,3133654.23708645,1195504900.63031,"BAU"
7,"econOpt",89671976.8758258,1576312.07689893,3241615190.52784,"Econ. opt."
7,"FMSY",82817142.2540511,3060897.66734987,3406190077.34004,"FMSY"
8,"BAU",82521704.0955485,3134556.28737592,1171483942.74693,"BAU"
8,"econOpt",92474880.2003373,1607922.22289419,3277409440.25838,"Econ. opt."
8,"FMSY",83916800.4866076,3096390.85962395,3460386127.18388,"FMSY"
9,"BAU",83449062.4961056,3137410.62393417,1152836634.16138,"BAU"
9,"econOpt",95320984.3590504,1651177.10695365,3334865884.82343,"Econ. opt."
9,"FMSY",85025505.7825776,3132361.26298119,3516866298.09985,"FMSY"
10,"BAU",84396537.0384914,3142031.83451747,1139036179.97171,"BAU"
10,"econOpt",98194385.1480943,1705600.30680894,3413646527.68265,"Econ. opt."
10,"FMSY",86141222.3315032,3168712.77352883,3575238065.70324,"FMSY"
11,"BAU",85361673.8005352,3148252.31369606,1129610444.99456,"BAU"
11,"econOpt",101079683.086407,1768607.87758434,3507124742.85046,"Econ. opt."
11,"FMSY",87262097.0101178,3205360.10884396,3635164968.04303,"FMSY"
12,"BAU",86342184.5173266,3155920.06131875,1124134957.76545,"BAU"
12,"econOpt",103964105.013177,1839515.00229164,3613323173.21067,"Econ. opt."
12,"FMSY",88386432.6730529,3242226.98538447,3696356116.70562,"FMSY"
13,"BAU",87335930.1489311,3164896.81104315,1122226984.92069,"BAU"
13,"econOpt",106835628.564113,1917090.02991297,3731059801.99002,"Econ. opt."
13,"FMSY",89512667.3082877,3279244.70704212,3758558112.85469,"FMSY"
14,"BAU",88340906.9549505,3175056.43337987,1123540490.71229,"BAU"
14,"econOpt",109683541.45352,2002288.95754876,3860747875.3944,"Econ. opt."
14,"FMSY",90639357.5659575,3316351.05901709,3821548744.90748,"FMSY"
15,"BAU",89355234.6501062,3186283.56799082,1127761831.78929,"BAU"
15,"econOpt",112496295.900834,2093026.14238641,3998051284.11227,"Econ. opt."
15,"FMSY",91765165.5855503,3353489.43103421,3885132021.41951,"FMSY"
16,"BAU",90377146.2911585,3198472.44818528,1134606065.38016,"BAU"
16,"econOpt",115264552.063399,2187367.45630648,4139890936.33329,"Econ. opt."
16,"FMSY",92888848.3366919,3390608.11466119,3949134215.46632,"FMSY"
17,"BAU",91404979.6067572,3211525.88713058,1143813771.29754,"BAU"
17,"econOpt",117981048.688592,2284066.16935942,4285562678.55982,"Econ. opt."
17,"FMSY",94009248.8937024,3427659.73409893,4013400683.08335,"FMSY"
