"","Fishery","SciName","CommName","SpeciesCat","SpeciesCatName","e","alpha","management","MC","implementYear","Year","Catch","Price"
"1","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2016,1304.94055896395,56048.4512984368
"2","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2016,1304.94055896395,56048.4512984368
"3","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2016,1304.94055896395,56048.4512984368
"4","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2017,1330.35369536464,55116.267461387
"5","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2017,1610.15100721031,46686.711881549
"6","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2017,307.482738466285,196992.895720025
"7","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2018,1355.36545148789,54230.7527832647
"8","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2018,1629.98398514138,46192.3486976199
"9","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2018,370.975107571697,167324.718897239
"10","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2019,1379.96245807167,53389.2205508488
"11","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2019,1649.36215505781,45720.06488222
"12","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2019,437.12709619563,145074.911421374
"13","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2020,1404.13281059879,52589.1634104534
"14","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2020,1668.28623339714,45268.7540922666
"15","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2020,505.437432139216,127866.805333227
"16","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2021,1427.86602963274,51828.23972405
"17","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"FMSY",1,2017,2021,1686.75768377419,44837.3737557556
"18","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"econOpt",1,2017,2021,588.195152650588,112071.047971148
"19","Abalones nei single_stock","Haliotis spp","Abalones nei",52,"Abalones, winkles, conchs",-1.15,377084680.555263,"SQ",1,2017,2022,1451.15301670404,51104.2610764718
