"","fishery","species","management","MC","catchShare","illegalFishing","implementYear","recTime"
"1","Abalones nei single_stock","Abalones nei","SQ",1,"no_CS","illegal_fishing",2,8
"2","Abalones nei single_stock","Abalones nei","FMSY",1,"no_CS","illegal_fishing",2,12
"3","Abalones nei single_stock","Abalones nei","minRec",1,"no_CS","illegal_fishing",2,5
"4","Abalones nei single_stock","Abalones nei","econOpt",1,"no_CS","illegal_fishing",2,5
"5","Abalones nei single_stock","Abalones nei","close",1,"no_CS","illegal_fishing",2,5
"6","Abalones nei single_stock","Abalones nei","openA",1,"no_CS","illegal_fishing",2,NA
"7","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","SQ",1,"no_CS","illegal_fishing",2,43
"8","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"no_CS","illegal_fishing",2,NA
"9","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","minRec",1,"no_CS","illegal_fishing",2,25
"10","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"no_CS","illegal_fishing",2,27
"11","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","close",1,"no_CS","illegal_fishing",2,25
"12","Alaska pollock(=Walleye poll.) pacific_stock","Alaska pollock(=Walleye poll.)","openA",1,"no_CS","illegal_fishing",2,NA
"13","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","SQ",1,"no_CS","illegal_fishing",2,19
"14","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","FMSY",1,"no_CS","illegal_fishing",2,NA
"15","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","minRec",1,"no_CS","illegal_fishing",2,19
"16","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","econOpt",1,"no_CS","illegal_fishing",2,20
"17","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","close",1,"no_CS","illegal_fishing",2,19
"18","Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Alaska pollock(=Walleye poll.)","openA",1,"no_CS","illegal_fishing",2,19
"19","Albacore single_stock","Albacore","SQ",1,"no_CS","illegal_fishing",2,NA
"20","Albacore single_stock","Albacore","FMSY",1,"no_CS","illegal_fishing",2,18
"21","Albacore single_stock","Albacore","minRec",1,"no_CS","illegal_fishing",2,10
"22","Albacore single_stock","Albacore","econOpt",1,"no_CS","illegal_fishing",2,NA
"23","Albacore single_stock","Albacore","close",1,"no_CS","illegal_fishing",2,10
"24","Albacore single_stock","Albacore","openA",1,"no_CS","illegal_fishing",2,NA
"25","Amberstripe scad single_stock","Amberstripe scad","SQ",1,"no_CS","illegal_fishing",2,32
"26","Amberstripe scad single_stock","Amberstripe scad","FMSY",1,"no_CS","illegal_fishing",2,47
"27","Amberstripe scad single_stock","Amberstripe scad","minRec",1,"no_CS","illegal_fishing",2,17
"28","Amberstripe scad single_stock","Amberstripe scad","econOpt",1,"no_CS","illegal_fishing",2,18
"29","Amberstripe scad single_stock","Amberstripe scad","close",1,"no_CS","illegal_fishing",2,17
"30","Amberstripe scad single_stock","Amberstripe scad","openA",1,"no_CS","illegal_fishing",2,NA
"31","Antarctic krill nei single_stock","Antarctic krill nei","SQ",1,"no_CS","illegal_fishing",2,NA
"32","Antarctic krill nei single_stock","Antarctic krill nei","FMSY",1,"no_CS","illegal_fishing",2,30
