"Fishery","Country","Species","Scientific.x","Time","N","phi_lower","phi_expected","phi_upper","g_lower","g_expected","g_upper","K_lower","K_expected","K_upper","b0_lower","b0_expected","b0_upper","f0_total_lower","f0_total_expected","f0_total_upper","theta_domestic","theta_legal1_lower","theta_legal1_expected","theta_legal1_upper","theta_legal2_lower","theta_legal2_expected","theta_legal2_upper","p1_lower","p1_expected","p1_upper","p2_lower","p2_expected","p2_upper","beta_lower","beta_expected","beta_upper","c1_lower","c1_expected","c1_upper","c2_lower","c2_expected","c2_upper","disc_lower","disc_expected","disc_upper","gamma_p1","gamma_p2","gamma_c1","gamma_c2","lambda","split"
"Abalones nei single_stock","Japan","Abalones nei","Haliotis spp",50,1,0.188,0.188,0.188,0.035209407434764,0.035209407434764,0.035209407434764,156794.540929928,156794.540929928,156794.540929928,0.702800513453894,0.702800513453894,0.702800513453894,0.84086987990622,0.84086987990622,0.84086987990622,1,1,1,1,0,0,0,45508.2952891592,52244.7147044652,58098.9534140267,45508.2952891592,52244.7147044652,58098.9534140267,1,1.3,1.5,1427090453.67347,3847420485.55494,7559153630.72852,1427090453.67347,3847420485.55494,7559153630.72852,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Alaska pollock(=Walleye poll.) pacific_stock","Japan","Alaska pollock(=Walleye poll.)","Theragra chalcogramma",50,1,0.188,0.188,0.188,0.0308265453643366,0.0308265453643366,0.0308265453643366,95532699.8734119,95532699.8734119,95532699.8734119,0.168894820527123,0.168894820527123,0.168894820527123,0.903616009761083,0.903616009761083,0.903616009761083,1,1,1,1,0,0,0,412.058054564335,1066.71420657275,2208.61980408727,412.058054564335,1066.71420657275,2208.61980408727,1,1.3,1.5,7873003691.42329,49810011444.2878,187117267977.98,7873003691.42329,49810011444.2878,187117267977.98,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Alaska pollock(=Walleye poll.) sea_of_japan_north_stock","Japan","Alaska pollock(=Walleye poll.)","Theragra chalcogramma",50,1,0.188,0.188,0.188,0.0330264830515834,0.0330264830515834,0.0330264830515834,2692420.94726402,2692420.94726402,2692420.94726402,0.32850564106598,0.32850564106598,0.32850564106598,0.0161111622941531,0.0161111622941531,0.0161111622941531,1,1,1,1,0,0,0,3197.42864556305,4880.28051376465,6284.73417607807,3197.42864556305,4880.28051376465,6284.73417607807,1,1.3,1.5,1721764772.5392,6291048244.67144,14497796268.2451,1721764772.5392,6291048244.67144,14497796268.2451,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Albacore single_stock","Japan","Albacore","Thunnus alalunga",50,1,0.188,0.188,0.188,0.0439384455051859,0.0439384455051859,0.0439384455051859,2667814.94280772,2667814.94280772,2667814.94280772,0.676792465691925,0.676792465691925,0.676792465691925,1.53763321428686,1.53763321428686,1.53763321428686,0.6,1,1,1,0,0,0,2971.79290223437,3473.05048085196,4191.41901108752,2971.79290223437,3473.05048085196,4191.41901108752,1,1.3,1.5,1585638702.30216,4071996145.48165,8306110771.00985,1585638702.30216,4071996145.48165,8306110771.00985,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Amberstripe scad single_stock","Japan","Amberstripe scad","Decapterus muroadsi",50,1,0.188,0.188,0.188,0.0345445797859143,0.0345445797859143,0.0345445797859143,3702307.39922222,3702307.39922222,3702307.39922222,0.365559624712575,0.365559624712575,0.365559624712575,0.792112886331542,0.792112886331542,0.792112886331542,1,1,1,1,0,0,0,1144.39954576193,1858.77423532276,2542.34713202458,1144.39954576193,1858.77423532276,2542.34713202458,1,1.3,1.5,847383781.188186,3250716628.48441,7885344098.17993,847383781.188186,3250716628.48441,7885344098.17993,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Antarctic krill nei single_stock","Japan","Antarctic krill nei","Euphausia spp",50,1,0.188,0.188,0.188,0.0395908379014688,0.0395908379014688,0.0395908379014688,1789100.92280271,1789100.92280271,1789100.92280271,0.538633548484971,0.538633548484971,0.538633548484971,1.74706796376976,1.74706796376976,1.74706796376976,0.6,1,1,1,0,0,0,313.814282015264,1929.84177641121,3936.52578796562,313.814282015264,1929.84177641121,3936.52578796562,1,1.3,1.5,112289084.308435,1565568603.93711,5511297778.57463,112289084.308435,1565568603.93711,5511297778.57463,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Bastard halibut pacific_central_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.043754737119092,0.043754737119092,0.043754737119092,33559.8020979517,33559.8020979517,33559.8020979517,0.695787501434358,0.695787501434358,0.695787501434358,2.45425592695417,2.45425592695417,2.45425592695417,1,1,1,1,0,0,0,9843.89175520173,14021.665908619,20018.6667370298,9843.89175520173,14021.665908619,20018.6667370298,1,1.3,1.5,66071811.8356458,207064405.839822,500086676.73308,66071811.8356458,207064405.839822,500086676.73308,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Bastard halibut pacific_north_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0364222591727833,0.0364222591727833,0.0364222591727833,168942.885950973,168942.885950973,168942.885950973,0.766060903387241,0.766060903387241,0.766060903387241,1.73692563787394,1.73692563787394,1.73692563787394,1,1,1,1,0,0,0,6356.01707929763,9485.12639255489,13776.611974669,6356.01707929763,9485.12639255489,13776.611974669,1,1.3,1.5,214760773.706043,745018290.521172,1898900364.64544,214760773.706043,745018290.521172,1898900364.64544,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Bastard halibut sea_of_japan_north_central_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0325070675920153,0.0325070675920153,0.0325070675920153,122713.0762245,122713.0762245,122713.0762245,0.458182587370559,0.458182587370559,0.458182587370559,2.53322504473939,2.53322504473939,2.53322504473939,1,1,1,1,0,0,0,10002.5687504851,11850.4645630424,13828.7238895194,10002.5687504851,11850.4645630424,13828.7238895194,1,1.3,1.5,245489196.303816,699563028.169642,1465505101.25333,245489196.303816,699563028.169642,1465505101.25333,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
"Bastard halibut sea_of_japan_west_east_china_sea_stock","Japan","Bastard halibut","Paralichthys olivaceus",50,1,0.188,0.188,0.188,0.0375377903681195,0.0375377903681195,0.0375377903681195,74028.2665357155,74028.2665357155,74028.2665357155,0.438610631190094,0.438610631190094,0.438610631190094,2.1393354043231,2.1393354043231,2.1393354043231,1,1,1,1,0,0,0,11472.7975287315,13032.4308955437,15096.5181173898,11472.7975287315,13032.4308955437,15096.5181173898,1,1.3,1.5,169862262.673447,444504710.205269,898138478.605865,169862262.673447,444504710.205269,898138478.605865,0.01,0.02,0.03,1.3,1.3,0.77,0.77,0.1,1
