"time","management","biomass","harvest","profit","manag"
1,"BAU",76845346.7120028,3182637.5284373,1491337274.48195,"BAU"
1,"econOpt",76845346.7120028,3182637.5284373,1491337274.48195,"Econ. opt."
1,"FMSY",76845346.7120028,3182637.5284373,1491337274.48195,"FMSY"
2,"BAU",77544063.7911424,3166536.50107404,1419671147.60186,"BAU"
2,"econOpt",77544063.7911424,8515439.38108038,13233298201.5011,"Econ. opt."
2,"FMSY",77544063.7911424,2895088.96935064,3189327428.57819,"FMSY"
3,"BAU",78286927.9473844,3154060.40790399,1358286288.56964,"BAU"
3,"econOpt",72938025.067378,6129328.23023446,6500552447.4874,"Econ. opt."
3,"FMSY",78558375.4791078,2926155.61612744,3222974315.29661,"FMSY"
4,"BAU",79069507.3747347,3144841.12306043,1306083224.06288,"BAU"
4,"econOpt",70831866.5601534,4028769.20647853,3327187577.06184,"Econ. opt."
4,"FMSY",79596357.5052435,2958460.49560774,3262395835.72037,"FMSY"
5,"BAU",79887784.9596169,3138553.76285182,1262099610.50713,"BAU"
5,"econOpt",70871275.6355875,3360280.13398595,2609104573.83856,"Econ. opt."
5,"FMSY",80654242.6455003,2991796.51205517,3306587957.12747,"FMSY"
6,"BAU",80738100.1240894,3134910.29226545,1225489259.03982,"BAU"
6,"econOpt",71620321.6476684,3113707.14399756,2357720848.8444,"Econ. opt."
6,"FMSY",81728784.2543976,3025990.99462713,3354740511.07525,"FMSY"
7,"BAU",81617100.8763639,3133654.23708645,1195504900.63031,"BAU"
7,"econOpt",72659313.9535816,3057720.96286133,2246549283.88194,"Econ. opt."
7,"FMSY",82817142.2540511,3060897.66734987,3406190077.34004,"FMSY"
8,"BAU",82521704.0955485,3134556.28737592,1171483942.74693,"BAU"
8,"econOpt",73798774.7336794,3062305.48904146,2194513017.58743,"Econ. opt."
8,"FMSY",83916800.4866076,3096390.85962395,3460386127.18388,"FMSY"
9,"BAU",83449062.4961056,3137410.62393417,1152836634.16138,"BAU"
9,"econOpt",74977549.4956127,3098255.90023437,2175473208.57213,"Econ. opt."
9,"FMSY",85025505.7825776,3132361.26298119,3516866298.09985,"FMSY"
10,"BAU",84396537.0384914,3142031.83451747,1139036179.97171,"BAU"
10,"econOpt",76163041.3966501,3150603.41189746,2176106576.29212,"Econ. opt."
10,"FMSY",86141222.3315032,3168712.77352883,3575238065.70324,"FMSY"
11,"BAU",85361673.8005352,3148252.31369606,1129610444.99456,"BAU"
11,"econOpt",77337258.3845836,3215326.86222174,2188783935.47218,"Econ. opt."
11,"FMSY",87262097.0101178,3205360.10884396,3635164968.04303,"FMSY"
12,"BAU",86342184.5173266,3155920.06131875,1124134957.76545,"BAU"
12,"econOpt",78486042.6601295,3292352.007773,2208534186.23939,"Econ. opt."
12,"FMSY",88386432.6730529,3242226.98538447,3696356116.70562,"FMSY"
13,"BAU",87335930.1489311,3164896.81104315,1122226984.92069,"BAU"
13,"econOpt",79595106.9892069,3367877.45190864,2231888713.7012,"Econ. opt."
13,"FMSY",89512667.3082877,3279244.70704212,3758558112.85469,"FMSY"
14,"BAU",88340906.9549505,3175056.43337987,1123540490.71229,"BAU"
14,"econOpt",80663700.9458889,3441632.49284246,2257108090.90319,"Econ. opt."
14,"FMSY",90639357.5659575,3316351.05901709,3821548744.90748,"FMSY"
15,"BAU",89355234.6501062,3186283.56799082,1127761831.78929,"BAU"
15,"econOpt",81691413.5068686,3513838.59860576,2282982042.64092,"Econ. opt."
15,"FMSY",91765165.5855503,3353489.43103421,3885132021.41951,"FMSY"
16,"BAU",90377146.2911585,3198472.44818528,1134606065.38016,"BAU"
16,"econOpt",82677669.5686111,3581838.56070864,2308762569.71735,"Econ. opt."
16,"FMSY",92888848.3366919,3390608.11466119,3949134215.46632,"FMSY"
17,"BAU",91404979.6067572,3211525.88713058,1143813771.29754,"BAU"
17,"econOpt",83624593.9474983,3660310.27586607,2334251832.28231,"Econ. opt."
17,"FMSY",94009248.8937024,3427659.73409893,4013400683.08335,"FMSY"
