部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明, 行和, 感応度係数
耕種農業,1.009201,0.039924,0.005538,0.002981,0.000104,0,0,0.000012,0.016514,0.000376,0.424539,0.031523,0.048325,0.010963,0.150904,0.004992,0.000333,0.001084,0.000039,0.000385,0.000058,0.000013,0.000026,0.000015,0.000011,0.000016,0.002152,0.001064,0.000007,0.000004,0.013963,0.000145,0.000015,0.000009,0.000128,0,0,0.000002,0.000005,0.000003,0,0.00001,0.000005,0.000004,0.00001,0.000012,0.00001,0.00001,0.00001,0.000012,0.00001,0.00001,0.000006,0.00001,0.000009,0.000007,0.00001,0.000009,0.002114,0.000008,0.000368,0.000016,0.001037,0.000004,0.000007,0.000013,0.000011,0.000009,0.000127,0.000009,0.000013,0.000008,0.000005,0.000006,0.00001,0.000021,0.000013,0.000024,0.000012,0.000026,0.000076,0.000004,0.000011,0.000089,0.000031,0.000012,0.00018,0.000062,0.000382,0.004287,0.003327,0.001298,0.00005,0.000044,0.000009,0.000014,0.014531,0.017537,0.000047,0.000931,0.003826,0.000046,0.00002,1.8162,1.397911
畜産,0.007855,1.036599,0.017165,0.00022,0.000015,0,0,0.000004,0.420842,0.000094,0.003305,0.007355,0.016177,0.002251,0.009459,0.001042,0.000187,0.000048,0.000011,0.000196,0.000028,0.00001,0.000438,0.000069,0.000068,0.000053,0.000685,0.000696,0.000003,0.000017,0.000135,0.002961,0.000038,0.000018,0.000024,0,0,0.000006,0.000009,0.000014,0,0.000014,0.000011,0.000007,0.000025,0.000054,0.000057,0.000058,0.000063,0.000077,0.000067,0.00008,0.000027,0.000067,0.000063,0.000047,0.000012,0.000025,0.000277,0.000006,0.000006,0.000003,0.000012,0.000004,0.000008,0.000002,0.000002,0.000005,0.000005,0.000002,0.000002,0.000002,0.000001,0.000005,0.000003,0.000004,0.000005,0.000007,0.000005,0.00001,0.000023,0.000001,0.000018,0.000012,0.000019,0.000009,0.000031,0.000889,0.000161,0.001462,0.00129,0.000016,0.000008,0.000007,0.000004,0.000003,0.006284,0.012672,0.000003,0.000029,0.000564,0.000011,0.00003,1.552773,1.195154
農業サービス,0.052509,0.096108,1.001842,0.000392,0.000007,0,0,0.000002,0.039034,0.000028,0.022089,0.002286,0.003949,0.000767,0.008604,0.000351,0.000034,0.0001,0.000004,0.000039,0.000006,0.000002,0.000041,0.000008,0.000008,0.000007,0.000174,0.000119,0.000001,0.000002,0.000731,0.000277,0.000005,0.000003,0.00001,0,0,0.000001,0.000002,0.000002,0,0.000002,0.000004,0.000002,0.000004,0.000007,0.000007,0.000008,0.00001,0.00001,0.000011,0.00001,0.000005,0.000011,0.000007,0.000005,0.000003,0.000003,0.000135,0.000001,0.000021,0.000002,0.000055,0.000001,0.000002,0.000001,0.000002,0.000002,0.000008,0.000002,0.000002,0.000001,0,0.000008,0.000001,0.000002,0.000002,0.000003,0.000003,0.000003,0.000007,0.000001,0.000015,0.000065,0.000019,0.000002,0.001145,0.000084,0.000035,0.000353,0.000288,0.000069,0.000004,0.000031,0.000001,0.000003,0.001319,0.002052,0.000005,0.000954,0.00025,0.000004,0.000005,1.236623,0.951817
林業,0.00017,0.000101,0.000026,1.162848,0.00018,0,0,0.000091,0.000057,0.000125,0.000075,0.000182,0.001431,0.000074,0.00183,0.000017,0.000011,0.208805,0.005858,0.004516,0.000628,0.000114,0.000044,0.00011,0.000026,0.000019,0.000026,0.000388,0.000018,0.000023,0.000024,0.000851,0.000683,0.000047,0.000304,0,0,0.00001,0.000025,0.000015,0,0.000059,0.000073,0.000051,0.000026,0.000023,0.000077,0.00002,0.000038,0.000034,0.00005,0.00002,0.000027,0.000023,0.00002,0.000014,0.000486,0.000182,0.001022,0.000011,0.003604,0.000942,0.000217,0.000046,0.000044,0.000057,0.000032,0.000086,0.00004,0.000025,0.000033,0.000042,0.000048,0.000044,0.000021,0.000071,0.000063,0.000111,0.000046,0.000098,0.000563,0.000013,0.00003,0.000037,0.000056,0.00005,0.000028,0.000031,0.000028,0.000263,0.000233,0.000048,0.000016,0.000023,0.000012,0.000042,0.00178,0.002024,0.000034,0.000056,0.000216,0.000171,0.000027,1.403459,1.080228
水産業,0.000001,0.000015,0.000001,0.000004,1.012725,0,0,0,0.000015,0.2016,0,0.000225,0.00145,0.000012,0.001156,0.000001,0,0.000001,0.000001,0.000001,0,0,0.000023,0,0,0.000001,0.000075,0.000004,0,0,0,0.000003,0.000001,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001227,0,0,0.000001,0,0,0,0,0,0.000001,0,0,0.000001,0,0,0,0,0.000001,0.000001,0.000001,0.000001,0.000003,0.000006,0,0.000001,0.000003,0.000002,0.000001,0.000001,0.000002,0.000093,0.001047,0.000937,0.000002,0.000001,0.000001,0,0.000001,0.004031,0.006288,0.000001,0.000011,0.000326,0.000011,0.000003,1.231332,0.947744
金属鉱物,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76969
石炭・石油・ガス,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.76969
非金属鉱物,0.000152,0.00005,0.000059,0.001728,0.000125,0,0,1.001656,0.000029,0.000045,0.000074,0.000024,0.000039,0.00004,0.000067,0.000026,0.000007,0.000355,0.000069,0.001947,0.000191,0.000067,0.003193,0.000642,0.001943,0.000067,0.000103,0.000094,0.032733,0.000026,0.000143,0.000035,0.026359,0.053055,0.045305,0,0,0.000039,0.000208,0.000156,0,0.000072,0.000082,0.000059,0.000072,0.000087,0.00008,0.000128,0.000378,0.00006,0.000035,0.000031,0.000087,0.000045,0.000028,0.000036,0.00003,0.000042,0.000394,0.000072,0.001888,0.001367,0.009991,0.000078,0.000191,0.000117,0.000102,0.000049,0.000046,0.000025,0.000052,0.000065,0.000073,0.000068,0.000152,0.000462,0.000199,0.000222,0.000093,0.000074,0.000103,0.000033,0.000035,0.000036,0.000043,0.000091,0.000048,0.000041,0.000024,0.000039,0.000036,0.000033,0.000024,0.000023,0.000026,0.000024,0.000028,0.000031,0.000049,0.000071,0.00009,0.000102,0.000242,1.189256,0.915359
食肉・畜産食料品,0.000005,0.000264,0.000009,0.000035,0.000013,0,0,0.000002,1.023026,0.000085,0.000003,0.011734,0.015174,0.005075,0.006611,0.000001,0.000266,0.000008,0.000003,0.00042,0.000028,0.000011,0.000002,0.000001,0.000001,0.000004,0.00113,0.001543,0.000002,0.000001,0.000001,0.003236,0.000001,0.000001,0.000015,0,0,0,0.000001,0,0,0,0.000001,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000001,0.000521,0.000001,0.000001,0.000001,0.000001,0,0.000001,0.000001,0.000001,0.000002,0.000001,0.000001,0.000002,0.000001,0,0.000001,0.000001,0.000003,0.000003,0.000006,0.000002,0.000008,0.000028,0.000001,0.000002,0.000006,0.000006,0.000018,0.000015,0.000004,0.000234,0.001981,0.00174,0.000008,0.000002,0.000003,0.000001,0.000002,0.009747,0.020669,0.000003,0.000009,0.000869,0.000018,0.000013,1.104667,0.850251
水産食料品,0.000001,0.000022,0.000001,0.000005,0.004857,0,0,0,0.000037,1.007141,0,0.000563,0.002254,0.000018,0.001739,0,0,0.000001,0,0.000002,0,0,0,0,0,0,0.000009,0.000007,0,0,0,0,0,0,0.000002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0.000002,0.000003,0,0,0.000001,0.000001,0.000002,0.000002,0.000001,0.000059,0.000785,0.000645,0.000001,0,0.000001,0,0,0.002453,0.004267,0,0.000002,0.000183,0,0.000002,1.025082,0.788996
