部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出（列）,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,県内総固定資本形成（民間）,在庫純増,調整項,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額,移入率,自給率,民間消費支出構成比,一般政府消費支出構成比
耕種農業,"1,905,307","9,228,667","173,902","62,383",0,0,0,0,"45,984","7,821","40,012,713","580,471","5,184,739","34,260","1,167,517","17,395","10,541","1,616",0,"16,457","1,472",0,0,0,0,0,"138,655","6,388",0,0,"176,708",0,0,0,"1,171",0,0,0,0,0,0,136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"145,542",0,"205,716",668,"1,439,362",0,0,0,0,0,"90,302",0,72,34,"1,648",0,0,0,0,0,0,0,"4,382",0,0,0,0,"1,332","76,800",0,"189,279","428,561","366,595","97,852","6,946",0,0,230,"1,122,253","3,227,137","3,012","117,359","342,792",0,0,"66,642,177","413,513","26,125,061",0,0,"318,287","-1,296,852",0,"25,560,009","92,202,186","70,031,624","95,591,633","162,233,810","-42,844,092","52,747,541","119,389,718",0.464675 ,0.535325 ,0.010273 ,0.000000 
畜産,"1,155,839","6,654,996","469,029","6,694",0,0,0,0,"88,330,217",70,0,"130,675","1,093,429",0,"31,375","2,657","1,842",0,0,0,0,0,"4,645",0,0,0,548,0,0,0,0,"17,235",0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"1,006",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,536,0,0,0,0,102,"1,140","125,249","24,710","62,530","63,854",0,0,0,0,0,"179,858","836,146",0,98,"12,716",0,0,"99,207,199",0,"2,645,435",0,0,"2,334,079","-425,422",0,"4,554,092","103,761,291","65,826,039","70,380,131","169,587,330","-32,476,369","37,903,762","137,110,961",0.312991 ,0.687009 ,0.001040 ,0.000000 
農業サービス,"6,127,514","12,441,145",0,"6,880",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"283,300",0,0,0,0,0,0,0,0,0,0,0,0,"64,228",0,0,0,"18,923,067",0,"585,833",0,0,0,0,0,"585,833","19,508,900",0,"585,833","19,508,900",0,"585,833","19,508,900",0.000000 ,1.000000 ,0.000230 ,0.000000 
林業,"18,061",0,0,"6,032,347","2,276",0,0,353,19,"2,604",0,"5,196","115,020",0,"4,915",12,0,"11,387,111",84,"13,557",96,0,0,74,0,0,0,"1,299",0,0,0,"3,927",0,0,2,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,711,0,"4,798",0,"3,079","3,015","41,291",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,171,0,0,"2,045","17,309","17,805",0,0,0,0,0,"108,457","301,457",0,0,"7,914",0,0,"18,095,034","27,420","2,128,370",0,0,0,"14,697,945",0,"16,853,735","34,948,769","6,971,229","23,824,964","41,919,998","-5,404,639","18,420,325","36,515,359",0.154645 ,0.845355 ,0.000837 ,0.000000 
水産業,0,0,0,0,"651,013",0,0,0,0,"17,253,730",0,"6,247","134,245",0,"5,743",2,0,0,0,0,0,0,311,0,0,0,"4,464",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"78,677",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,466,0,0,0,0,257,0,0,"44,669","115,110","120,051",0,0,0,0,0,"372,968","1,422,964",0,"1,102","26,403",0,0,"20,238,422","117,632","2,398,199",0,0,0,"114,418",0,"2,630,249","22,868,671","19,231,190","21,861,439","42,099,861","-9,615,478","12,245,961","32,484,383",0.420465 ,0.579535 ,0.000943 ,0.000000 
金属鉱物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"2,634","4,420",0,0,0,0,0,0,0,0,25,"4,069","4,635",0,0,0,0,"558,819",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"574,602",0,0,0,0,0,0,0,0,"574,602",0,0,"574,602","-574,602","-574,602",0,1.000000 ,0.000000 ,0.000000 ,0.000000 
石炭・石油・ガス,0,0,0,0,0,0,0,0,490,0,0,"12,984","2,355",0,0,14,0,283,0,"376,513","12,399",0,"593,636",864,172,427,"1,358",507,"24,693",85,"1,679",0,"1,012","2,771,182","60,793",0,0,"252,825","3,050",464,0,"1,854","2,413","14,037","10,988","4,148",0,0,"18,607","1,670",0,0,"1,300",0,492,"39,303",0,0,0,714,0,0,0,"2,719,693","4,102,430",0,0,0,0,0,0,0,0,80,0,0,0,0,"1,005",0,0,0,0,0,0,0,0,"12,837",0,0,0,0,0,0,162,0,0,0,0,0,0,0,0,"11,049,518",0,171,0,0,0,0,0,171,"11,049,689",0,171,"11,049,689","-11,049,689","-11,049,518",0,1.000000 ,0.000000 ,0.000000 ,0.000000 
非金属鉱物,0,0,0,"78,911",0,0,0,"34,819",0,0,0,0,0,0,0,2,0,85,0,"89,037","1,388",0,"39,469",802,244,0,"3,609",217,"524,169",0,"1,239",0,"371,101","4,886,120","640,649",0,0,0,"4,536",407,0,719,"1,124",550,865,"8,667","2,778",0,0,0,0,0,0,0,0,0,0,0,"21,329",0,"549,941","22,180","9,950,834",-91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,333,0,0,0,0,0,0,0,0,0,0,"-3,009","-4,184",0,"1,451","3,680",0,"5,320","17,239,291","-41,967","-52,092",0,0,"-76,889","-455,513",0,"-626,461","16,612,830","5,441,340","4,814,879","22,054,170","-6,580,060","-1,765,181","15,474,110",0.396083 ,0.603917 ,-0.000020 ,0.000000 
食肉・畜産食料品,0,"53,238",0,0,0,0,0,0,"8,826,082",112,0,"1,356,775","3,097,661","129,225","63,840",0,"15,587",0,0,"29,684",0,0,0,0,0,0,"103,015","14,651",0,0,0,"62,053",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"49,341",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"3,267",0,0,0,0,"18,695","8,922",0,"161,923","362,271","340,645",0,0,0,0,0,"1,489,748","7,894,985",0,949,"115,974",0,0,"24,198,643","480,469","33,705,620",0,0,0,"101,000",0,"34,287,089","58,485,732","130,251,581","164,538,670","188,737,313","-35,825,956","128,712,714","152,911,357",0.612559 ,0.387441 ,0.013254 ,0.000000 
水産食料品,0,0,0,0,"856,090",0,0,0,"18,173","1,712,233",0,"126,854","996,466",0,"39,523",3,0,0,0,0,0,0,0,0,0,0,739,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,731,0,0,0,0,"4,066","2,761",0,"100,438","324,639","305,984",0,0,0,0,0,"820,286","3,552,415",0,419,"53,086",0,0,"8,914,906","491,679","22,640,676",0,0,0,"-869,881","303,531","22,566,005","31,480,911","44,849,951","67,415,956","76,330,862","-25,789,422","41,626,534","50,541,440",0.819208 ,0.180792 ,0.008903 ,0.000000 
