部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,金属鉱物,石炭・原油・天然ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維工業製品,衣服・その他の繊維既製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,石油化学基礎製品,有機化学工業製品（石油化学基礎製品を除く。）,合成樹脂・化学繊維,化学最終製品,石油製品,石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車（二輪自動車を含む）,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
米,755,155,1082,144,24,0,0,0,0,0,0,83361,12,0,242,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,208,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,85991,0,0,0,0,0,-3818,-3818,82173,51100,47282,133273,-41853,5429,91420
耕種農業（米を除く）,0,1305,6511,40,0,0,0,0,0,85,364,1105,8190,3212,17953,0,4,33,1,0,43,0,0,0,0,0,0,0,118,0,0,0,9268,0,0,0,0,1,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,125,0,674,0,1152,397,0,0,0,0,0,160,0,0,0,3,0,0,0,0,0,0,0,19,0,0,0,0,0,0,39,52,0,275,0,611,631,148,16,0,0,0,1802,10299,7,189,812,0,0,65654,826,50699,0,0,79,-33,51571,117225,6011,57582,123236,-86909,-29327,36327
畜産,612,375,8674,409,0,0,0,0,0,40427,182,0,1835,0,36,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,1,246,36,0,87,109,0,0,0,0,0,290,2669,0,0,31,0,0,56027,0,4234,0,0,1476,-1273,4437,60464,31909,36346,92373,-19355,16991,73018
農業サービス,8780,1554,3707,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,0,0,0,0,0,0,0,0,0,0,0,0,0,28,0,0,0,14276,0,5628,0,0,0,0,5628,19904,0,5628,19904,0,5628,19904
林業,0,13,0,0,1566,6,0,0,0,0,16,0,303,0,6,0,0,0,5494,0,36,0,0,0,2,0,0,0,26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,0,10,6,26,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,3,0,25,30,0,0,0,0,0,174,963,0,0,19,0,0,8756,55,3138,0,0,0,5593,8786,17542,1272,10058,18814,-4055,6003,14759
漁業,0,0,0,0,0,1357,0,0,0,0,39034,0,664,0,92,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,8,0,0,65,0,165,206,0,0,0,0,0,600,4541,0,3,64,0,0,46863,236,5887,0,0,0,-523,5600,52463,44051,49651,96514,-39192,10459,57322
金属鉱物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,148,0,0,0,0,0,0,0,0,0,0,0,2,36,31,0,0,0,1226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1444,0,0,0,0,0,36,36,1480,0,36,1480,-1480,-1444,0
石炭・原油・天然ガス,0,0,0,0,0,0,0,0,0,1,0,0,18,0,0,0,0,0,0,0,2213,1,0,305,5,3,2,1,8,375225,30,0,18,0,1,49,50,78,30,339,2,0,0,17,2,7,0,0,0,0,31,3,0,0,0,0,0,4,39,0,0,0,0,0,0,0,0,50154,17682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,446333,0,0,0,0,0,-4085,-4085,442248,0,-4085,442248,-442248,-446333,0
非金属鉱物,0,0,0,0,3,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,454,0,0,21,19,0,0,0,25,-423,928,0,27,0,425,3456,178,606,-52,0,6,0,1,2,9,1,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,67,0,1516,42,7921,3747,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,-5,-13,0,4,5,0,7,19002,-84,-110,0,0,-114,148,-160,18842,9149,8989,27991,-2174,6815,25817
食肉・畜産食料品,0,0,27,0,0,0,0,0,0,14600,296,0,10693,208,1005,0,0,3,0,0,223,0,0,0,0,0,0,0,199,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,85,7,0,234,0,514,588,0,0,0,0,0,2396,25195,0,3,283,0,0,56750,959,64520,0,0,0,-428,65051,121801,67578,132629,189379,-89005,43624,100374
