部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,石炭・原油・天然ガス,その他の鉱業,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学製品,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・革製品・毛皮,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属,建設用・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信・映像・音響機器,電子計算機・同附属装置,乗用車,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出,民間消費支出,一般政府消費支出,県内総固定資本形成（公的）,民間総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,移輸出,最終需要計,需要合計,（控除）移輸入,最終需要部門計,県内生産額
米,888,190,679,134,31,0,0,0,0,0,"50,971",9,0,340,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,289,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,"53,542",0,0,0,0,0,-890,-890,"52,652","39,859","38,969","92,511","-21,229","17,740","71,282"
耕種農業（米を除く）,0,"1,712","5,389",32,0,0,0,0,72,339,"1,536","10,484","2,639","18,149",0,45,3,0,59,0,0,101,0,0,"6,179",0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,161,0,529,0,"1,400",905,0,0,0,0,0,220,0,0,0,3,0,0,0,0,0,0,0,14,0,0,0,0,0,0,34,864,0,778,0,480,884,136,21,0,0,1,"1,119","10,602",6,123,779,0,0,"65,804",872,"54,308",0,0,118,-449,"54,849","120,653","4,382","59,231","125,035","-84,885","-25,654","40,150"
畜産,432,378,"9,844",500,0,0,0,0,"35,592",162,0,"1,548",0,53,0,1,0,0,0,0,0,3,0,0,0,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,3,104,503,104,0,72,158,0,0,0,0,0,185,"2,723",0,0,30,0,0,"52,437",0,"4,069",0,0,"1,609",-111,"5,567","58,004","38,831","44,398","96,835","-19,089","25,309","77,746"
農業サービス,"7,173","1,798","2,593",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,218,0,0,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,"11,811",0,"7,161",0,0,0,0,"7,161","18,972","2,522","9,683","21,494",0,"9,683","21,494"
林業,0,15,0,0,"2,286",10,0,0,0,20,0,304,0,7,0,0,"6,505",0,29,0,0,48,0,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,0,10,16,83,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,37,0,8,0,18,40,0,0,0,0,0,105,852,0,0,18,0,0,"10,470",54,"3,141",0,0,0,"3,931","7,126","17,596","3,357","10,483","20,953","-4,976","5,507","15,977"
漁業,0,0,0,0,0,"2,072",0,0,15,"64,753",0,"1,155",0,120,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,7,40,0,186,0,112,289,0,0,0,0,0,393,"3,014",0,2,63,0,0,"72,244",251,"5,636",0,0,0,293,"6,180","78,424","57,071","63,251","135,495","-60,665","2,586","74,830"
石炭・原油・天然ガス,0,0,2,0,1,0,0,0,21,8,0,78,7,33,0,1,0,0,"2,205",2,0,433,"274,135",2,22,0,4,28,182,175,0,492,2,0,39,5,14,1,0,0,2,79,5,0,0,4,0,2,11,49,0,0,1,4,0,0,7,4,"46,349","18,075",0,0,2,4,1,2,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,26,7,0,1,3,6,17,0,0,0,9,0,11,1,0,0,0,"342,579",0,0,0,0,0,398,398,"342,977",0,398,"342,977","-342,977","-342,579",0
その他の鉱業,0,0,0,0,4,0,0,6,0,0,0,0,0,10,0,0,0,0,466,0,0,440,865,0,14,0,309,"4,461",571,668,0,0,6,0,"2,960",11,0,0,5,2,0,0,0,0,0,0,0,0,0,0,0,0,78,0,"1,729",101,"11,483","8,696",-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,-5,-13,0,2,6,0,17,"32,902",-93,-120,0,0,-122,-370,-705,"32,197","5,722","5,017","37,919","-15,471","-10,454","22,448"
食肉・畜産食料品,0,0,34,0,0,0,0,0,"15,339",392,0,"14,163",640,"1,388",0,9,0,0,238,0,0,231,0,0,0,133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,228,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,69,"1,650",0,703,0,431,858,0,0,0,0,0,"1,607","26,560",0,2,298,0,0,"64,985","1,043","64,315",0,0,0,-174,"65,184","130,169","73,770","138,954","203,939","-111,537","27,417","92,402"
水産食料品,0,0,0,0,0,"2,292",0,0,37,"13,113",0,"3,243",0,328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,51,289,0,432,0,379,776,0,0,0,0,0,859,"11,892",0,1,130,0,0,"33,825","1,054","57,927",0,0,0,240,"59,221","93,046","161,631","220,852","254,677","-67,656","153,196","187,021"
