部門名,耕種農業,畜産,農業サービス,林業,水産業,金属鉱物,石炭・石油・ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,その他の食料品,飲料・たばこ,飼料・有機質肥料（別掲を除く。）,繊維工業製品,衣服・その他の繊維製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,有機化学工業製品,合成樹脂・化学繊維,医薬品,化学最終製品（医薬品を除く。）,石油・石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器・その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,鋼材,鋳鍛造品・その他の鉄鋼製品,非鉄金属精錬・精製,非鉄金属屑,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機械,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,土木,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃借,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,公務,教育,研究,医療・保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃借サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
耕種農業,0.015959,0.067308,0.008914,0.001708,0,0,0,0,0.000301,0.000155,0.785429,0.012,0.060491,0.003311,0.255713,0.009101,0.000452,0.000029,0,0.000532,0.000045,0,0,0,0,0,0.003716,0.001643,0,0,0.02581,0,0,0,0.000136,0,0,0,0,0,0,0.000011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003835,0,0.000637,0.000007,0.001903,0,0,0,0,0,0.00022,0,0.000001,0,0.000003,0,0,0,0,0,0,0,0.000086,0,0,0,0,0.000003,0.000307,0,0.000395,0.005459,0.00376,0.001885,0.000072,0,0,0.000001,0.017896,0.020873,0.000061,0.001641,0.006309,0,0
畜産,0.009681,0.048537,0.024042,0.000183,0,0,0,0,0.577656,0.000001,0,0.002701,0.012757,0,0.006872,0.00139,0.000079,0,0,0,0,0,0.000539,0,0,0,0.000015,0,0,0,0,0.002218,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000011,0,0,0,0,0,0.000005,0.001241,0.000052,0.000797,0.000655,0,0,0,0,0,0.002868,0.005408,0,0.000001,0.000234,0,0
農業サービス,0.051324,0.090738,0,0.000188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001133,0,0,0,0,0,0,0,0,0,0,0,0,0.000898,0,0,0
林業,0.000151,0,0,0.1652,0.00007,0,0,0.000023,0,0.000052,0,0.000107,0.001342,0,0.001076,0.000006,0,0.20087,0.000013,0.000438,0.000003,0,0,0.000083,0,0,0,0.000334,0,0,0,0.000505,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000051,0,0.000126,0,0.00001,0.000032,0.000055,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000004,0.000221,0.000183,0,0,0,0,0,0.001729,0.00195,0,0,0.000146,0,0
水産業,0,0,0,0,0.020041,0,0,0,0,0.341378,0,0.000129,0.001566,0,0.001258,0.000001,0,0,0,0,0,0,0.000036,0,0,0,0.00012,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002073,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000009,0,0,0,0,0.000001,0,0,0.000093,0.001466,0.001231,0,0,0,0,0,0.005947,0.009204,0,0.000015,0.000486,0,0
金属鉱物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000306,0.004958,0,0,0,0,0,0,0,0,0.000003,0.000068,0.000538,0,0,0,0,0.23213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石炭・石油・ガス,0,0,0,0,0,0,0,0,0.000003,0,0,0.000268,0.000027,0,0,0.000007,0,0.000005,0,0.012173,0.000381,0,0.068924,0.000969,0.002173,0.001234,0.000036,0.00013,0.002512,0.000002,0.000245,0,0.000118,0.046346,0.00706,0,0,0.005271,0.000116,0.000193,0,0.000154,0.000088,0.000218,0.000139,0.000031,0,0,0.000122,0.000053,0,0,0.000212,0,0.00007,0.000062,0,0,0,0.00007,0,0,0,0.030118,0.302301,0,0,0,0,0,0,0,0,0.000004,0,0,0,0,0.000208,0,0,0,0,0,0,0,0,0.000127,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0
非金属鉱物,0,0,0,0.002161,0,0,0,0.00225,0,0,0,0,0,0,0,0.000001,0,0.000001,0,0.002879,0.000043,0,0.004583,0.0009,0.003083,0,0.000097,0.000056,0.053316,0,0.000181,0,0.043312,0.081718,0.074402,0,0,0,0.000172,0.000169,0,0.00006,0.000041,0.000009,0.000011,0.000064,0.000045,0,0,0,0,0,0,0,0,0,0,0,0.000562,0,0.001703,0.000236,0.013158,-0.000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000001,0,0,0,0,0,0,0,0,0,0,-0.000048,-0.000027,0,0.00002,0.000068,0,0.000106
食肉・畜産食料品,0,0.000388,0,0,0,0,0,0,0.05772,0.000002,0,0.028049,0.036141,0.012489,0.013982,0,0.000669,0,0,0.00096,0,0,0,0,0,0,0.002761,0.003767,0,0,0,0.007985,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0013,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000064,0,0,0,0,0.000041,0.000036,0,0.000338,0.004615,0.003494,0,0,0,0,0,0.023756,0.051063,0,0.000013,0.002135,0,0
水産食料品,0,0,0,0,0.026354,0,0,0,0.000119,0.033878,0,0.002622,0.011626,0,0.008656,0.000002,0,0,0,0,0,0,0,0,0,0,0.00002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000014,0,0,0,0,0.000009,0.000011,0,0.00021,0.004136,0.003138,0,0,0,0,0,0.01308,0.022976,0,0.000006,0.000977,0,0
