部門名,穀類,いも・豆類,野菜,果実,その他の食用作物,非食用作物,畜産,農業サービス,育林,素材,特用林産物,海面漁業,内水面漁業,石炭・原油・天然ガス,砂利・砕石,その他の鉱物,畜産食料品,水産食料品,精穀・製粉,めん・パン・菓子類,農産保存食料品,砂糖・油脂・調味料類,その他の食料品,酒類,その他の飲料,飼料・有機質肥料（別掲を除く。）,たばこ,紡績糸,織物,ニット生地,染色整理,その他の繊維工業製品,織物製・ニット製衣服,その他の衣服・身の回り品,その他の繊維既製品,木材,その他の木製品,家具・装備品,パルプ,紙・板紙,加工紙,紙製容器,その他の紙加工品,印刷・製版・製本,化学肥料,ソーダ工業製品,その他の無機化学工業製品,石油化学系基礎製品,脂肪族中間物・環式中間物・合成染料・有機顔料,合成ゴム,その他の有機化学工業製品,合成樹脂,化学繊維,医薬品,油脂加工製品・界面活性剤,化粧品・歯磨,塗料・印刷インキ,農薬,その他の化学最終製品,石油製品,石炭製品,プラスチック製品,タイヤ・チューブ,その他のゴム製品,革製履物,なめし革・革製品・毛皮（革製履物を除く。）,ガラス・ガラス製品,セメント・セメント製品,陶磁器,建設用土石製品,その他の窯業・土石製品,銑鉄・粗鋼,鉄屑,熱間圧延鋼材,鋼管,冷延・めっき鋼材,鋳鍛造品（鉄）,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属屑,電線・ケーブル,その他の非鉄金属製品,建設用金属製品,建築用金属製品,ガス・石油機器・暖房・調理装置,その他の金属製品,ボイラ・原動機,ポンプ・圧縮機,運搬機械,冷凍機・温湿調整装置,その他のはん用機械,農業用機械,建設・鉱山機械,繊維機械,生活関連産業用機械,基礎素材産業用機械,金属加工機械,半導体製造装置,その他の生産用機械,事務用機械,サービス用・娯楽用機器,計測機器,医療用機械器具,光学機械・レンズ,武器,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置,電気計測器,その他の電気機械,通信機器,映像・音響機器,電子計算機・同附属装置,乗用車,トラック・バス・その他の自動車,二輪自動車,自動車部品・同附属品,船舶・同修理,鉄道車両・同修理,航空機・同修理,その他の輸送機械,がん具・運動用品,その他の製造工業製品,再生資源回収・加工処理,住宅建築,非住宅建築,建設補修,公共事業,その他の土木建設,電力,都市ガス,熱供給業,水道,廃棄物処理,卸売,小売,金融,保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道旅客輸送,鉄道貨物輸送,道路旅客輸送,道路貨物輸送（自家輸送を除く。）,外洋輸送,沿海・内水面輸送,港湾運送,航空輸送,貨物利用運送,倉庫,こん包,その他の運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務（中央）,公務（地方）,学校教育,社会教育・その他の教育,学術研究機関,企業内研究開発,医療,保健衛生,社会保険・社会福祉,介護,他に分類されない会員制団体,物品賃貸業（貸自動車業を除く。）,貸自動車業,広告,自動車整備,機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明,内生部門計,家計外消費支出（列）,家計消費支出,対家計民間非営利団体消費支出,一般政府消費支出,一般政府消費支出（社会資本等減耗分）,県内総固定資本形成（公的）,県内総固定資本形成（民間）,在庫純増,県内最終需要計,県内需要合計,輸出,輸出（直接購入）,輸出計,移出,最終需要計,需要合計,（控除）輸入,（控除）輸入（直接購入）,（控除）関税,（控除）輸入品商品税,（控除）輸入計,（控除）移入,（控除）移輸入計,最終需要部門計,県内生産額
穀類,0.005485807,0.001615509,0.002836712,0.003246753,0.00738189,0.007499414,0.009683201,0.004493079,0,0,0.003211304,0,0,0,0,0,0,0,0.588758839,0,0,0.002175064,0.000884494,0.000789578,8.12638E-05,0.023172906,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001380938,0,0,0,1.4817E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000149667,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.18207E-05,0,0,0,0.000816149,0,0,0,0,0,0,0,0.025138948,-3.61623E-05,0.000819084,4.93903E-07,0,4.9234E-07,0.001930352,0.000835506,0.001070067,0.000644448,0,0,0.000546326,0.000626306,0.000303474,0.000390338,0.001336176,0.001409604
いも・豆類,0,0.027463651,0.005968914,0,0,0,0.000279323,0,0,0,0,0,0,0,0,0,0,0,0.000731529,0.011373195,0.003933254,0.063506146,0.025309306,0.009988156,0.000341308,0.004010695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.40937E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000126342,0,0,0,2.8476E-05,0,0.000168586,0.000294267,0,0,0,0,0,0,0,0.000860844,0.001634327,0,0,5.45517E-05,0,0,0.000472013,0,0.000280329,0,0,0,0,0,-0.016331766,0.000170725,0.000556406,4.93903E-07,0,4.9234E-07,2.54305E-05,8.76093E-05,0.00036991,0.00133266,0,0.001406305,0.001142732,0.001305512,0.000862662,0.000981819,-0.000918088,6.42498E-05
野菜,0,0,0.000236393,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001299379,0.000235099,0,0.003506735,0.125625745,0.010646366,0.023604258,0,0.000568847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.61351E-05,0,0.001657309,0,0,0,0.000710225,0,0.001554734,0.003036583,0.000267953,0,0,0,0,0,0,0.006139996,0.013766864,0,0.000167292,0.001050119,0,0,0.000628642,0.00101626,0.004584096,0,0,0,0,0,0,0.002437016,0.001694536,1.48171E-06,0,1.47702E-06,0.000727263,0.001410659,0.001306971,0.000869704,0.000357191,0.003925935,0.000760304,0.000876133,0.002640009,0.002165405,0.000561813,0.000878168
果実,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00018472,0,0.004845455,0.029797378,0.000414979,0.016038108,0.004540071,0.001479001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.83436E-05,0,0.000665153,0,0,0,0.000273035,0,0.000780489,0.001533944,0.000523726,0,0,0,0,0,0,0.002904052,0.007094229,0,0,0.000490965,0,0,0.000322858,0.000926965,0.002133734,0,0,0,0,5.06106E-05,0,0.00115916,0.00083039,3.95122E-06,0,3.93872E-06,0.000422596,0.000705164,0.000659075,0.002216094,0.000133947,0.026133833,0.00204417,0.002341117,0.000750511,0.001178495,0.000172821,0.000399615
その他の食用作物,0,0,0,0,0,0,0.002094923,0,0,0,0,0,0,0,0,0,0,8.39638E-06,0.016825165,0.007049011,0.00011919,0.081722307,0.002664138,0.001026451,0.218827201,0.212566845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000100715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.03716E-05,3.90365E-05,0,0,0,0,0,0.001092559,0,8.19676E-06,0,0,0,0,2.18425E-05,0.006070971,6.15004E-07,0.001117642,9.87805E-07,0,9.84679E-07,0.000436433,0.000192927,0.000850017,0.004424466,0,0.000703152,0.003760545,0.00430537,0.001039629,0.001918339,-0.001747603,0.000316371
非食用作物,0,0.004038772,0.012942497,0.003636364,0.00246063,0.140379658,0.039175066,0.002101602,0,0,0,0,0,0,0,0,0,0,0,0.000272483,0,0,0,0,0,0.013368984,0,0.125858124,0.003197726,0,0,0.016887266,0,0,0.008433427,0,0.000145635,0,0.005567929,0,0,0,0,0,0,0,0,0,1.95212E-05,0,0.00020143,0,0.001711743,0.003880398,0,0,0,0,0.000807299,0,0,0,0.112646856,0.008053873,0,0,0,0,0,0,0.000835914,0,0,0,0,0,0,0,0,0,9.32756E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00031837,0.00108598,0.001004491,0.000466516,0.000842745,0,0.002424519,0.001880319,0,0,0,0,0,0,0.000225164,0,0,0,0,7.2377E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000748335,0,0,4.52266E-05,0,6.8683E-05,1.8783E-05,0.000694241,5.33234E-05,0,0,0,0,0,0.000228176,0.000314894,4.36719E-05,0.001171045,0.004977838,0,0,0.001137243,0.001407457,0.001054337,0,0,0,0,0,0.116802052,0.000426444,0.001347094,0.000154098,0,0.00015361,0.000200452,0.000296266,0.000944848,0.00413013,4.46488E-05,0.000351576,0.003505593,0.00401693,0.001188736,0.001949716,-0.001563331,0.000442898
畜産,0.00265086,0.004038772,0.001891141,0.001948052,0.01476378,0.000234357,0.134377691,0.015725777,0,0,0,0,0,0,0,0,0.250481942,0.000142738,0,0.004075395,0,0.005766782,0.013928111,0,0,-0.002673797,0,0.007845701,0.001598863,0,0,0.001255135,0,0,0.001448164,0,0,0,0,0,0,0,0,0,0.000361141,0,0,0,0,0,0,0,0,1.4839E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000442436,0.000748444,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.44787E-06,0,0.000308423,0,0.001119737,0.001818399,0.000137355,0,0.000362147,0.000864017,0,0,0,0,0,0,0,0.00166983,0.005962171,0,7.27357E-06,0.000245482,0,0,0.001817782,0,0.000771666,0,0,0,0,0.000335096,0.003078239,0.000478227,0.002065439,2.46951E-06,0,2.4617E-06,0.00191078,0.001057086,0.00187748,0.000242848,4.46488E-05,0.002988398,0.00021853,0.000257164,0.001509552,0.001172573,0.000927202,0.002229594
農業サービス,0.043444645,0.051696284,0.016961173,0.035454545,0.007053806,0.004569955,0.035939573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003030757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000421867,0,0,0,0.000185224,0,0.001619914,0,0,0,0,0,0,0.000850797,0.000556565,0,0,0,0.000508486,0.000604741,0.000504092,0,0,0,0,0,0.000108881,7.95845E-05,0.001195372,0.000716142
育林,0,0,0,0,0,0,0,0,0.009950249,0.264522481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33868E-05,0,0,0,0,0,0,0,-0.197947841,0.000284747,0.000167246,0,0,0,1.24659E-06,0.000127867,0.000109402,0,0,0,0,0,2.07528E-05,1.51688E-05,0.000254615,0.000156473
素材,0,0,0,0.00012987,0,0,0,0,0,0,0.029543995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.389480969,0.000946625,0,0.002505568,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.78737E-05,0,0,0,0.00031837,0.000174293,0,9.14737E-06,0,0,3.90153E-05,1.93847E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000297065,0,0,0,0,0,0,0,0.04360838,-6.27304E-05,0.000276743,5.92683E-06,0,5.90808E-06,6.48229E-05,1.20992E-06,0.000198868,0.000296051,0,0,0.0002504,0.000287668,0.000277746,0.000280416,-0.000312807,0.000158133
