部門名,米,耕種農業（米を除く）,畜産,農業サービス,林業,漁業,金属鉱物,石炭・原油・天然ガス,非金属鉱物,食肉・畜産食料品,水産食料品,精穀・製粉,その他の食料品,飲料,飼料・有機質肥料（別掲を除く。）,たばこ,繊維工業製品,衣服・その他の繊維既製品,木材・木製品,家具・装備品,パルプ・紙・板紙・加工紙,紙加工品,印刷・製版・製本,化学肥料,無機化学工業製品,石油化学基礎製品,有機化学工業製品（石油化学基礎製品を除く。）,合成樹脂・化学繊維,化学最終製品,石油製品,石炭製品,プラスチック製品,ゴム製品,なめし革・毛皮・同製品,ガラス・ガラス製品,セメント・セメント製品,陶磁器,その他の窯業・土石製品,銑鉄・粗鋼,鋼材,鋳鍛造品,その他の鉄鋼製品,非鉄金属製錬・精製,非鉄金属加工製品,建設・建築用金属製品,その他の金属製品,はん用機械,生産用機械,業務用機械,電子デバイス,その他の電子部品,産業用電気機器,民生用電気機器,電子応用装置・電気計測器,その他の電気機械,通信機械・同関連機器,電子計算機・同附属装置,自動車（二輪自動車を含む）,自動車部品・同附属品,船舶・同修理,その他の輸送機械・同修理,その他の製造工業製品,再生資源回収・加工処理,建築,建設補修,公共事業,その他の土木建設,電力,ガス・熱供給,水道,廃棄物処理,卸売,小売,金融・保険,不動産仲介及び賃貸,住宅賃貸料,住宅賃貸料（帰属家賃）,鉄道輸送,道路輸送（自家輸送を除く。）,自家輸送,水運,航空輸送,貨物利用運送,倉庫,運輸附帯サービス,郵便・信書便,通信,放送,情報サービス,インターネット附随サービス,映像・音声・文字情報制作,公務,教育,研究,医療,保健衛生,社会保険・社会福祉,介護,その他の非営利団体サービス,物品賃貸サービス,広告,自動車整備・機械修理,その他の対事業所サービス,宿泊業,飲食サービス,洗濯・理容・美容・浴場業,娯楽サービス,その他の対個人サービス,事務用品,分類不明
米,0.008258587,0.004266799,0.014818264,0.007234727,0.001626126,0,0,0,0,0,0,0.800209265,6.00E-05,0,0.005258469,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.004610133,0,0,5.90E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.07E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,1.63E-05,0,0,0
耕種農業（米を除く）,0,0.035923693,0.089169794,0.002009646,0,0,0,0,0,0.000846833,0.002649739,0.010607253,0.040928717,0.03139386,0.390104518,0,0.009259259,0.001694306,2.10E-05,0,0.000262498,0,0,0,0,0,0,0,0.002167962,0,0,0,0.11114309,0,0,0,0,8.03E-05,0,0,0,0,0,0.000144207,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002770513,0,0.00082093,0,0.001979888,0.001250417,0,0,0,0,0,0.000219865,0,0,0,3.87E-06,0,0,0,0,0,0,0,0.000186269,0,0,0,0,0,0,3.89E-05,0.000110904,0,0.000395942,0,0.005153378,0.003900841,0.001631771,7.40E-05,0,0,0,0.017565065,0.021659944,7.22E-05,0.001537685,0.007472782,0,0
畜産,0.006694378,0.0103229,0.118792626,0.020548633,0,0,0,0,0,0.402763664,0.00132487,0,0.009170231,0,0.000782252,0,0,0,0,0,0,0,0,0.00047824,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E-05,0,0,0,0,0,0,2.99E-06,2.13E-06,0.001708986,5.18E-05,0,0.000733787,0.000673838,0,0,0,0,0,0.002826786,0.005613204,0,0,0.000285291,0,0
農業サービス,0.096040254,0.042778099,0.050768304,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000441485,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000227805,0,0,0
林業,0,0.000357861,0,0,0.10610475,0.000104672,0,0,0,0,0.000116472,0,0.001514213,0,0.000130375,0,0,0,0.115144402,0,0.000219765,0,0,0,0.000314465,0,0,0,0.000477687,0,0,0,0,0.001180638,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00037679,0,1.22E-05,3.54E-05,4.47E-05,2.83E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99E-06,0,0,4.32E-06,0,0.000210858,0.00018546,0,0,0,0,0,0.001696072,0.002025296,0,0,0.000174856,0,0
漁業,0,0,0,0,0,0.023673284,0,0,0,0,0.284148152,0,0.003318274,0,0.001999087,0,0,0,0,0,0,0,0,0,0,0,0,0,5.51E-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001307682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.96E-05,0,0,0,0,0,0,7.98E-06,0,0,9.36E-05,0,0.001391665,0.001273492,0,0,0,0,0,0.005848523,0.009550229,0,2.44E-05,0.000588988,0,0
金属鉱物,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00023912,0.02327044,0,0,0,0,0,0,0,0,0,0,0,0.000382922,0.002891102,0.000669142,0,0,0,0.286649521,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
石炭・原油・天然ガス,0,0,0,0,0,0,0,0,0,9.96E-06,0,0,9.00E-05,0,0,0,0,0,0,0,0.013509471,4.18E-05,0,0.072931612,0.000786164,0.000454477,0.00204918,0.000792393,0.00014698,0.722432618,0.001741857,0,0.000215858,0,0.000102103,0.000845352,0.009573042,0.006264054,0.000647557,0.005288117,8.09E-05,0,0,0.000245151,2.23E-05,0.000173956,0,0,0,0,9.55E-05,3.51E-05,0,0,0,0,0,3.34E-05,0.00015109,0,0,0,0,0,0,0,0,0.413695828,0.472061297,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000104206,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
非金属鉱物,0,0,0,0,0.000203266,0,0,0,0.000387342,0,0,0,0,0,0,0,0,0,0,0,0.002771487,0,0,0.005021521,0.002987421,0,0,0,0.000459314,-0.000814415,0.053881438,0,0.000323788,0,0.043393915,0.059623214,0.034080031,0.048666881,-0.001122431,0,0.000242836,0,0.000233809,2.88E-05,0.000100553,2.49E-05,0,0,7.10E-05,0,0,0,0,0,0,0,0,0,0,0,0,0.001484995,0,0.001846484,0.000247821,0.013613451,0.011801798,-8.25E-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.98E-06,0,0,0,0,0,0,0,0,0,0,0,-4.87E-05,-2.73E-05,0,3.25E-05,4.60E-05,0,9.23E-05
食肉・畜産食料品,0,0,0.000369772,0,0,0,0,0,0,0.145455995,0.002154733,0,0.053437213,0.002032977,0.021837857,0,0,0.000154028,0,0,0.001361325,0,0,0,0,0,0,0,0.003656139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.003923046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000137251,0,0,0,0,0,0,8.48E-05,1.49E-05,0,0.00033691,0,0.004335248,0.003635015,0,0,0,0,0,0.023355103,0.05298789,0,2.44E-05,0.00260443,0,0
